"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"CLAM FALLS CMPGD","","","","25","Ground water","642 335TH AVE
FREDERIC, WI 54837","","FREDERIC","Polk"
"CLAM FALLS LUTHERAN","","","","25","Ground water","604 350TH AVE.
FREDERIC, WI 54837","","CLAM FALLS","Polk"
"CLAM LAKE JUNCTION","","","","25","Ground water","60158 MATHEY RD
CLAM LAKE, WI 54517","","CLAM LAKE","Ashland"
"CLANCEYS STONE LION","","","","25","Ground water","7214 Custer Dr
Custer, WI 54423","","CUSTER","Portage"
"CLARK CO BRUCE MOUND - SKI AREA","","","","150","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","MERRILLAN","Clark"
"CLARK CO GREENWOOD PARK","","","","25","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","GREENWOOD","Clark"
"CLARK CO HEALTH CARE CENTER","","","","510","Ground water","Jane Schmitz- Admin
W4266 CTH X
Owen, WI 54460-9572","","OWEN","Clark"
"CLARK CO HWY 10 - HAND PUMP","","","","25","Ground water","RICK DAILEY
COURTHOUSE - 517 COURT STREET
NEILLSVILLE, WI 54456","","NEILLSVILLE","Clark"
"CLARK CO KNOBBY RIDGE MOTORCYCLE TRAILHEAD","","","","25","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","NEILLSVILLE","Clark"
"CLARK CO LEVIS MOUNDS TRAIL CENTER","","","","25","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","NEILLSVILLE","Clark"
"CLARK CO MEAD LAKE DAM","","","","30","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","NEILLSVILLE","Clark"
"CLARK CO MEAD LAKE PK N CAMP","","","","100","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","NEILLSVILLE","Clark"
"CLARK CO MEAD LAKE SHOWER BLDG","","","","25","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","NEILLSVILLE","Clark"
"CLARK CO ROCK DAM PARK BEACH","","","","25","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","WILLARD","Clark"
"CLARK CO ROCK DAM PARK CAMPGROUND 1","","","","50","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","WILLARD","Clark"
"CLARK CO ROCK DAM PARK CAMPGROUND 2","","","","25","Ground water","RICK DAILEY
COURTHOUSE - 517 COURT STREET
NEILLSVILLE, WI 54456","","WILLARD","Clark"
"CLARK CO ROCK DAM WEST ATV AREA","","","","25","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","WILLARD","Clark"
"CLARK CO RUSSELL MEM  ALPHABET PARK","","","","25","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","MERRILLAN","Clark"
"CLARK CO RUSSELL MEM PARK  SHOWERHOUSE 3","","","","50","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","MERRILLAN","Clark"
"CLARK CO RUSSELL MEM PARK 1","","","","200","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","MERRILLAN","Clark"
"CLARK CO RUSSELL MEM PARK SHOWER HOUSE 2","","","","25","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","MERRILLAN","Clark"
"CLARK CO SHERWOOD PARK 1","","","","50","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","PITTSVILLE","Clark"
"CLARK CO SHERWOOD PARK-SHOWER BUILDING","","","","25","Ground water","MANAGER:  MARCUS AUMANN
517 COURT ST, ROOM 103
NEILLSVILLE, WI 54456","","PITTSVILLE","Clark"
"CLARK CO SNYDER PARK CMPGD","","","","100","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","NEILLSVILLE","Clark"
"CLARK CO SNYDER PARK DAY USE","","","","25","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","NEILLSVILLE","Clark"
"CLARK CO WILD ROCK PARK","","","","30","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","NEILLSVILLE","Clark"
"CLARK CO WILDCAT MOUND PARK","","","","25","Ground water","RICK DAILEY, ADM - COURTHOUSE
517 COURT ST
Neillsville, WI 54456","","NEILLSVILLE","Clark"
"CLARK CUPERY PROPERTY","","","","106","Ground water","W7480 MONTHEY RD
PORTAGE, WI 53901","","PARDEEVILLE","Columbia"
"CLARK OIL STN 364 N PT WASHINGTON RD","","","","32","Ground water","10355 N PT WASHINGTON RD
MEQUON, WI 53097","","MEQUON","Ozaukee"
"CLARKS BAR","","","","25","Ground water","131 W MAIN ST
PO BOX 93
Forestville, WI 54213","","FORESTVILLE","Door"
"CLARNO ZION UNITED METHODIST","","","","50","Ground water","W5899 COUNTY RD P
Monroe, WI 53566","","MONROE","Green"
"CLASSERTS WILLOW COVE","","","","25","Ground water","6964 TIMBER RIDGE TRAIL
COTTAGE GROVE, MN 55016","","LUCK","Burnett"
"CLAUSON THEATER","","","","25","Ground water","W13412 CTY RD CC
COLOMA, WI 54930","","COLOMA","Waushara"
"CLAY BANKS TOWN HALL","","","","25","Ground water","6188 MIDWAY RD
ALGOMA, WI 54201-9437","","STURGEON BAY","Door"
"CLAYTON ELEMENTARY SCHOOL","","","","360","Ground water","410 S COMMERCIAL ST
NEENAH, WI 54956","","NEENAH","Winnebago"
"CLAYTON IMMANUEL LUTHERAN CHURCH","","","","25","Ground water","519 80th Avenue
Clayton, WI 54004","","CLAYTON","Polk"
"CLAYTON PARK","","","","25","Ground water","8348 COUNTY RD T
LARSON, WI 54947","","LARSEN","Winnebago"
"CLAYTON WATERWORKS","","","","765","Ground water","PO BOX 63
CLAYON, WI 54004","","CLAYTON","Polk"
"CLEAR LAKE GOLF CLUB","","","","50","Ground water","PO BOX 100
Clear Lake, WI 54005","","CLEAR LAKE","Polk"
"CLEAR LAKE INN","","","","60","Ground water","4461 COUNTY ROAD P
RHINELANDER, WI 54501","","RHINELANDER","Oneida"
"CLEAR LAKE VILLAGE PARK","","","","25","Ground water","PO BOX 48
Clear Lake, WI 54005","","CLEAR LAKE","Polk"
"CLEAR LAKE VILLAGE PARK - CHALET","","","","25","Ground water","AL BANNINK - CLERK
PO Box 48
Clear Lake, WI 54005-0048","","CLEAR LAKE","Polk"
"CLEAR LAKE WATERWORKS","","","","1,061","Ground water","AL BANNINK - CLERK
PO Box 48
Clear Lake, WI 54005-0048","","CLEAR LAKE","Polk"
"CLEAR WATER HARBOR","","","","50","Ground water","N2757 CTH QQ
Waupaca, WI 54981","","KING","Waupaca"
"CLEARFIELD PUB AND GRILL","","","","50","Ground water","N7405 Hwy 80
New Lisbon, WI 53950","","NEW LISBON","Juneau"
"CLEARING MAIN LODGE THE","","","","29","Ground water","12171 Garrett Bay Rd
PO Box 65
Ellison Bay, WI 54210","","ELLISON BAY","Door"
"CLEARING OFFICE THE","","","","30","Ground water","12171 Garrett Bay Rd
PO Box 65
Ellison Bay, WI 54210","","ELLISON BAY","Door"
"CLEARING SCHOOLHOUSE THE","","","","28","Ground water","12171 Garrett Bay Rd
PO Box 65
Ellison Bay, WI 54210","","ELLISON BAY","Door"
"CLEARING WORKSHOP THE","","","","27","Ground water","12171 Garrett Bay Rd
PO Box 65
Ellison Bay, WI 54210","","ELLISON BAY","Door"
"CLEARVIEW HOME CORPORATION","","","","35","Ground water","935 MAIN ST
PO BOX 180198
DELAFIELD, WI 53018","","DELAFIELD","Waukesha"
"CLEARVIEW SUPPER CLUB","","","","25","Ground water","8299 N BIG ST. GERMAIN DRIVE
ST. GERMAIN, WI 54558","","ST. GERMAIN","Vilas"
"CLEARWATER CAMP ISLAND","","","","100","Ground water","7490 CLEARWATER RD
Minocqua, WI 54548","","MINOCQUA","Oneida"
"CLEARWATER CAMP MAIN","","","","100","Ground water","7490 CLEARWATER RD
Minocqua, WI 54548","","MINOCQUA","Oneida"
"CLEARWATER RESORT","","","","25","Ground water","13933 S. Resort Road
Gordon, WI 54838","","GORDON","Douglas"
"CLEARWATER RESORT 2 CABINS","","","","25","Ground water","13933 S. Resort Road
Gordon, WI 54838","","GORDON","Douglas"
"CLEGHORN KEG","","","","25","Ground water","E5425 CNTY RD V
ELEVA, WI 54738","","ELEVA","Eau Claire"
"CLEVELAND STATE BANK - HOWARDS GROVE","","","","66","Ground water","502 S. WISCONSIN DR
HOWARDS GROVE, WI 53083","","HOWARDS GROVE","Sheboygan"
"CLEVELAND WATERWORKS","","","","1,507","Ground water","1150 W WASHINGTON ST
PO BOX 87
CLEVELAND, WI 53015-0087","","CLEVELAND","Manitowoc"
"CLIFF DWELLERS RESORT","","","","25","Ground water","354 MICHIGAN ST
Sturgeon Bay, WI 54235","","STURGEON BAY","Door"
"CLIFTON HIGHLANDS GOLF","","","","100","Ground water","N6890 1230TH ST
Prescott, WI 54021","","PRESCOTT","Pierce"
"CLIFTON HOLLOW GOLF COURSE","","","","50","Ground water","W12166 820th Ave
River Falls, WI 54022","","RIVER FALLS","Pierce"
"CLINTON WATERWORKS","","","","2,119","Ground water","301 CROSS ST
PO BOX 129
CLINTON, WI 53525-0129","","CLINTON","Rock"
"CLINTONVILLE MUN AIRPORT","","","","25","Ground water","50 10TH ST
CLINTONVILLE, WI 54929","","CLINTONVILLE","Waupaca"
"CLINTONVILLE UTILITIES","","","","4,635","Ground water","50 10TH ST
CLINTONVILLE, WI 54929-1513","","CLINTONVILLE","Waupaca"
"CLOUD NINE JUICE BAR & CAFE","","","","32","Ground water","10432 WOODCREST RD
SISTER BAY, WI 54234","","SISTER BAY","Door"
"CLOVER CLUB","","","","25","Ground water","W5950 GREENWOOD ROAD
TOMAHAWK, WI 54487","","IRMA","Lincoln"
"CLOVER MEADOW WINERY","","","","55","Ground water","23396 THOMPSON RD
SHELL LAKE, WI 54871","","SHELL LAKE","Burnett"
"CLOVER TOWN PARK","","","","25","Ground water","ATTN: BEVERLY STEELE
PO BOX 94
HERBSTER, WI 54844","","HERBSTER","Bayfield"
"CLOVERLAND COVENANT CHURCH","","","","25","Ground water","1885 S RUDOLPH ROAD
MAPLE, WI 54854","","MAPLE","Douglas"
"CLOVERLEAF MOBILE HOME PARK","","","","175","Ground water","7128 MESSARA CR
LAS VEGAS, WI 89149","","CLINTONVILLE","Shawano"
"CLUB 10","","","","270","Ground water","W4570 US HWY 10
Durand, WI 54736","","DURAND","Pepin"
"CLUB 161","","","","25","Ground water","N9797 CTH E
MARION, WI 54950","","OGDENSBURG","Waupaca"
"CLUB 22 SUPPER CLUB","","","","50","Ground water","N3925 HWY 22
Shawano, WI 54166-9803","","SHAWANO","Shawano"
"CLUB 23 INC","","","","30","Ground water","465 STH 23
WI DELLS, WI 53965","","WISCONSIN DELLS","Adams"
"CLUB 32","","","","25","Ground water","5506 HWY 32 S
Gillett, WI 54124","","GILLETT","Oconto"
"CLUB 33 LLC","","","","52","Ground water","E4889 S HWY 33
LAVALLE, WI 53941","","LA VALLE","Sauk"
"CLUB 40","","","","100","Ground water","2108 HWY 40
COLFAX, WI 54730","","COLFAX","Chippewa"
"CLUB 45","","","","50","Ground water","4800 Old Hwy 45
Conover, WI 54519","","CONOVER","Vilas"
"CLUB 60","","","","107","Ground water","N1356 WENDT RD
COLUMBUS, WI 53925","","COLUMBUS","Columbia"
"CLUB BRISTOL","","","","105","Ground water","7653 HWY N
SUN PRAIRIE, WI 53590","","SUN PRAIRIE","Dane"
"CLUB CHALET SUPPER CLUB","","","","110","Ground water","4642 NICOLET DRIVE
GREEN BAY, WI 54311","","GREEN BAY","Brown"
"CLUB CHAPPARAL","","","","150","Ground water","S320 STH 33
WONEWOC, WI 53968","","WONEWOC","Sauk"
"CLUB COTTAGES AT HORSESHOE BAY","","","","29","Ground water","717 N GIBBONS
ARLINGTON HEIGHTS, IL 60004","","EGG HARBOR","Door"
"CLUB DENOYER","","","","25","Ground water","5324 HWY 70 WEST
EAGLE RIVER, WI 54521","","EAGLE RIVER","Vilas"
"CLUB FOREST TAVERN","","","","25","Ground water","1176 CLUB FOREST DR
PLOVER, WI 54467","","PLOVER","Portage"
"CLUB MIDWAY","","","","30","Ground water","W626 Midway Rd
Fountain City, WI 54629-9641","","FOUNTAIN CITY","Buffalo"
"CLUB OASIS","","","","75","Ground water","11345 HWY 21
SPARTA, WI 54656","","SPARTA","Monroe"
"CLUBHOUSE BAR & GRILL","","","","52","Ground water","R13085 COUNTY ROAD N
RINGLE, WI 54471","","RINGLE","Marathon"
"CLYDES CORNER","","","","25","Ground water","W7437 HWY 65
P.O. BOX 27
BLENDENVILLE, WI 54003","","BLENDENVILLE","Pierce"
"CLYMAN WATERWORKS","","","","422","Ground water","713 MORGAN ST
PO BOX 129
CLYMAN, WI 53016-0127","","CLYMAN","Dodge"
"CNC LINKS GOLF","","","","25","Ground water","CNC LINKS LLC
4935 CTH C
MANITOWOC, WI 54220","","MANITOWOC","Manitowoc"
"COACHMANS INN MOTEL POOL, MOTEL BLDGS 1 & 2","","","","102","Ground water","984 CTH A
Edgerton, WI 53534","","EDGERTON","Dane"
"COACHMANS INN MOTEL PROSHOP, CONCESSION, BDLGS  3 & 4","","","","155","Ground water","984 CTH A
Edgerton, WI 53534","","EDGERTON","Dane"
"COACHMANS INN RESTAURANT & STORE","","","","155","Ground water","984 CTH A
Edgerton, WI 53534","","EDGERTON","Dane"
"COACHMANS TERRACE MHP","","","","125","Ground water","N866 W14041 BEACON ST
MENOMONIE FALLS, WI 53051","","LAKE GENEVA","Walworth"
"COACHS ON THE LAKE","","","","110","Ground water","W198S10857 RACINE AVE
MUSKEGO, WI 53150","","MUSKEGO","Waukesha"
"COADYS POINT OF VIEW","","","","60","Ground water","3932 N PRIMICH WAY
PHELPS, WI 54554","","PHELPS","Vilas"
"COBB WATERWORKS","","","","458","Ground water","501 BENSON ST
PO BOX 158
COBB, WI 53526-0158","","COBB","Iowa"
"COCHRANE FOUNTAIN CITY SCHOOL","","","","700","Ground water","S2770 STH 35
Fountain City, WI 54629","","FOUNTAIN CITY","Buffalo"
"COCHRANE WATERWORKS","","","","450","Ground water","PO Box 222
102 EAST 5TH ST.
Cochrane, WI 54622-0222","","COCHRANE","Buffalo"
"COCKATIELS","","","","25","Ground water","N10730 CTY HWY A
TOMAHAWK, WI 54487","","TOMAHAWK","Lincoln"
"COCONUT COVE RESORT","","","","108","Ground water","1549 BLUFF ROAD
HAZEL GREEN, WI 53811","","HAZEL GREEN","Grant"
"COFCO INTERNATIONAL GRAINS US LLC","","","","40","Ground water","960 E BAY ST
MILWAUKEE, WI 53207","","MILWAUKEE","Milwaukee"
"COFFEE SHOP AT MANITOWISH WATERS LLC THE","","","","25","Ground water","PO BOX 482
MANITOWISH WATERS, WI 54545","","MANITOWISH WATERS","Vilas"
"COFFEE TALK BAKERY","","","","27","Ground water","S52W28809 SAYLESVILLE RD
WAUKESHA, WI 53189","","WAUKESHA","Waukesha"
"COLBY WATERWORKS","","","","1,829","Ground water","211 W spence St
PO Box 236
Colby, WI 54421","","COLBY","Marathon"
"COLD SPRING CREAMERY CO PARK","","","","25","Ground water","311 S CENTER AVE, RM 204
JEFFERSON, WI 53549-1799","","FORT ATKINSON","Jefferson"
"COLD SPRING EGG FARMS INC","","","","46","Ground water","N9416 TAMARACK RD
WHITEWATER, WI 53190","","PALMYRA","Jefferson"
"COLD WATER CANYON SHORE LANDING","","","","100","Ground water","STEVE RODENKIRCH
E10320 FERN DELL RD
BARABOO, WI 53913","","WISCONSIN DELLS","Adams"
"COLE ACRES COUNTRY CLUB","","","","210","Ground water","7617 COUNTY HWY J
CUBA CITY, WI 53807","","CUBA CITY","Lafayette"
"COLEMAN LAKE CLUB","","","","25","Ground water","W13203 HWY 8
PO BOX 190
GOODMAN, WI 54125","","GOODMAN","Marinette"
"COLEMAN WATERWORKS","","","","727","Ground water","GLEN A WOULF
718 BUS I41 N
COLEMAN, WI 54112","","COLEMAN","Marinette"
"COLFAX WATERWORKS","","","","1,123","Ground water","613 Main St
P O Box 417 - Vlge Hall
Colfax, WI 54730","","COLFAX","Dunn"
"COLLIN'S COFFEE","","","","25","Ground water","205 ALLEN RD
NEW LISBON, WI 53950","","NEW LISBON","Juneau"
"COLLINS MEMORIAL PARK - BEACH","","","","25","Ground water","1903 COUNTY HWY Y
Stevens Point, WI 54481-3598","","ROSHOLT","Portage"
"COLLINS MEMORIAL PARK 2 CMPGD","","","","25","Ground water","1903 COUNTY HWY Y
Stevens Point, WI 54481-3598","","ROSHOLT","Portage"
"COLOMA CAMPERLAND","","","","25","Ground water","N1130 5TH RD
COLOMA, WI 54930","","COLOMA","Waushara"
"COLOMA WATERWORKS","","","","454","Ground water","PO BOX 353
COLOMA, WI 54930-0353","","COLOMA","Waushara"
"COLONEL HEG MEMORIAL PARK","","","","28","Ground water","14200 WASHINGTON AVENUE
STURTEVANT, WI 53177","","WIND LAKE","Racine"
"COLONIAL GARDENS HOMES","","","","48","Ground water","W3085 ARTESIAN RD
FOND DU LAC, WI 54937","","FOND DU LAC","Fond du Lac"
"COLONY HOUSE","","","","27","Ground water","25811 119th Street
Trevor, WI 53179","","TREVOR","Kenosha"
"COLOR VISION LTD","","","","65","Ground water","501 STH 29
EDGAR, WI 54426","","EDGAR","Marathon"
"COLUMBIA PARK RESTROOMS","","","","102","Ground water","160 S MACY ST
FOND DU LAC, WI 54935","","FOND DU LAC","Fond du Lac"
"COLUMBUS CHEMICAL INDUSTRIES INC","","","","60","Ground water","ATTN:  KELLY YUDS
N4335 TEMKIN RD
COLUMBUS, WI 53925","","COLUMBUS","Dodge"
"COLUMBUS WATER & LIGHT DEPARTMENT","","","","5,036","Ground water","105 N DICKASON BLVD
COLUMBUS, WI 53925-1565","","COLUMBUS","Columbia"
"COLWITZS CONVENIENCE STORE","","","","50","Ground water","W7832 STATE HIGHWAY 54
Shiocton, WI 54170","","SHIOCTON","Outagamie"
"COMBINED LOCKS WATERWORKS","","","","3,477","Ground water purchased","405 WALLACE ST
COMBINED LOCKS, WI 54113-1113","","COMBINED LOCKS","Outagamie"
"COMFORT COVE RESORT CP","","","","25","Ground water","N10149 E. SOLBERG LAKE RD.
PHILLIPS, WI 54555","","PHILLIPS","Price"
"COMFORT COVE RESRT BAR","","","","25","Ground water","N10149 E. SOLBERG LAKE RD.
PHILLIPS, WI 54555","","PHILLIPS","Price"
"COMFORT SUITES","","","","110","Ground water","N5780 KINNEY RD
PORTAGE, WI 53901","","PORTAGE","Columbia"
"COMMON THREADS MADISON","","","","36","Ground water","3579 SIGGELKOW RD
MCFARLAND, WI 53558","","MCFARLAND","Dane"
"COMMUNITY ALLIANCE CHURCH","","","","27","Ground water","5404 COUNTY RD A
SHEBOYGAN, WI 53085","","SHEBOYGAN FALLS","Sheboygan"
"COMMUNITY BAPTIST CH OF ALLENVILLE","","","","25","Ground water","6629 Hilltop Rd
OSHKOSH, WI 54904","","OSHKOSH","Winnebago"
"COMMUNITY BAPTIST CHURCH","","","","154","Ground water","P O BOX 129
Silver Lake, WI 53170-9999","","SILVER LAKE","Kenosha"
"COMMUNITY CHRISTIAN CHURCH","","","","80","Ground water","Box 92
N7274 US Hwy 12 & STH 27
Black River Falls, WI 54615","","BLACK RIVER FALLS","Jackson"
"COMMUNITY CHRISTIAN SCHOOL OF BARABOO","","","","85","Ground water","E12654 COUNTY ROAD T
BARABOO, WI 53913","","BARABOO","Sauk"
"COMMUNITY CHURCH OF BOULDER JUNCTION","","","","150","Ground water","PO BOX 14
Boulder Junction, WI 54512-0014","","BOULDER JUNCTION","Vilas"
"COMMUNITY CHURCH OF NAZARENE","","","","203","Ground water","8440 SPRING ST
RACINE, WI 53406","","RACINE","Racine"
"COMMUNITY EVANGELICAL FREE CHURCH","","","","52","Ground water","6522 CTY RD U
SHULLSBURG, WI 53586","","SHULLSBURG","Lafayette"
"COMMUNITY LUTHERAN CH","","","","25","Ground water","W2680 HWY 180
WAUSAUKEE, WI 54177","","WAGNER TN","Marinette"
"COMMUNITY OF CHRIST CHURCH","","","","30","Ground water","N6378 Co Rd D
Arkansaw, WI 54721","","ARKANSAW","Pepin"
"COMMUNITY OF CHRIST CHURCH","","","","60","Ground water","4242 S CHIPPENDALE DR
BELOIT, WI 53511","","BELOIT","Rock"
"COMMUNITY UNITED CHURCH OF CHRIST","","","","120","Ground water","PO BOX 178
Saint Germain, WI 54558-0178","","ST GERMAIN","Vilas"
"COMMUNITY UNITED METHODIST CHURCH","","","","259","Ground water","14700 WATERTOWN PLANK RD
ELM GROVE, WI 53122-2327","","ELM GROVE","Waukesha"
"COMO COMMUNITY CHURCH","","","","200","Ground water","W3901 PALMER RD
LAKE GENEVA, WI 53147","","LAKE GENEVA","Walworth"
"COMPASS ROSE","","","","25","Ground water","9254 LIME KILN RD
STURGEON BAY, WI 54235","","STURGEON BAY","Door"
"COMPEER FINANCIAL","","","","84","Ground water","3448 STH 23
DODGEVILLE, WI 53533","","DODGEVILLE","Iowa"
"COMPEER FINANCIAL","","","","33","Ground water","WILLIAM GLEN
1430 N RIDGE DR
PRAIRIE DU SAC, WI 53578","","JANESVILLE","Rock"
"COMPEER FINANCIAL","","","","60","Ground water","PO BOX 870
FOND DU LAC, WI 54936-0870","","FOND DU LAC","Fond du Lac"
"COMSTOCK CREAMERY LLC","","","","45","Ground water","ATTN: EXECUTIVE MANAGER
1858 HWY 63
COMSTOCK, WI 54826","","COMSTOCK","Barron"
"CONCEPT WORKS","","","","25","Ground water","W3126 STATE HWY 32
ELKHART LAKE, WI 53020","","ELKHART LAKE","Sheboygan"
"CONCOR TOOL & MACHINE INC","","","","57","Ground water","9665 CONCOR RD.
HAYWARD, WI 54843","","HAYWARD","Sawyer"
"CONCORD 1 FUND LLC","","","","48","Ground water","10580 N PORT WASHINGTON RD
MEQUON, WI 53092","","MEQUON","Ozaukee"
"CONCORD GENERAL STORE","","","","807","Ground water","N6485 HWY F
OCONOMOWOC, WI 53066","","OCONOMOWOC","Jefferson"
"CONCORD INN","","","","44","Ground water","W1240 CONCORD CTR DR
SULLIVAN, WI 53178","","SULLIVAN","Jefferson"
"CONCORD PARK","","","","25","Ground water","N6828 CTH E
OCONOMOWOC, WI 53066-9017","","CONCORD","Jefferson"
"CONCORD TOWN HALL","","","","45","Ground water","N6828 CTH E
OCONOMOWOC, WI 53066-9017","","SULLIVAN","Jefferson"
"CONCORD UNITED METHODIST","","","","25","Ground water","W1096 CONCORD CENTER DR
PO BOX 72
SULLIVAN, WI 53178","","SULLIVAN","Jefferson"
"CONCORDIA UNIVERSITY","","","","1,500","Ground water","1333 S KIRKWOOD RD
SAINT LOUIS, MO 63122-7295","","MEQUON","Ozaukee"
"CONGREGATION ANSHAI LEBOWITZ","","","","97","Ground water","2415 W MEQUON ROAD
MEQUON, WI 53092","","MEQUON","Ozaukee"
"CONGREGATIONAL UNITED CHURCH OF CHRIST","","","","70","Ground water","PO Box 279
Cable, WI 54821-0225","","CABLE","Bayfield"
"CONNELLS CLUB 12","","","","60","Ground water","E11295 US HWY 12
FALL CREEK, WI 54742","","FALL CREEEK","Eau Claire"
"CONNELLS SUPPER CLUB","","","","250","Ground water","18525 50th Ave
Chippewa Falls, WI 54729","","CHIPPEWA FALLS","Chippewa"
"CONNIES HOME PLATE","","","","30","Ground water","7113 CTH K
Middleton, WI 53562","","MIDDLETON","Dane"
"CONOVER EVANGELICAL FREE CH","","","","170","Ground water","3725 HWY 45
CONOVER, WI 54519","","CONOVER","Vilas"
"CONROYS PUB & GRUB","","","","55","Ground water","3515 CTH M
EDGERTON, WI 53534","","EDGERTON","Rock"
"CONSERVATION CLUB OF KENOSHA COUNTY","","","","75","Ground water","21001 85TH STREET
Bristol, WI 53104","","BRISTOL","Kenosha"
"CONSERVATION CLUB OF KENOSHA COUNTY SHOTGUN RANGE","","","","75","Ground water","21001 85TH STREET
BRISTOL, WI 53104","","BRISTOL","Kenosha"
"CONSERVE SCHOOL","","","","120","Ground water","5400 N Black Oak Lk Rd
Land O Lakes, WI 54540","","LAND O LAKES","Vilas"
"CONSOLIDATED LUMBER COMPANY","","","","30","Ground water","808 4TH ST. NORTH
STILLWATER, MN 55082","","SIREN","Burnett"
"CONSOLIDATED SCHOOL","","","","100","Ground water","114 W HIGH ST
MILTON, WI 53563","","JANESVILLE","Rock"
"COOKERY","","","","88","Ground water","UNKNOWN
PO BOX 376
Fish Creek, WI 54212-0376","","FISH CREEK","Door"
"COOKIES HOLCOMBE INN","","","","25","Ground water","PO BOX 297
HOLCOMBE, WI 54745","","HOLCOMBE","Chippewa"
"COOKSVILLE COUNTRY STORE","","","","25","Ground water","1225 LINCOLN AVE
STOUGHTON, WI 53589","","EVANSVILLE","Rock"
"COOKSVILLE LUTHERAN CHURCH","","","","75","Ground water","11927 W CHURCH ST
Evansville, WI 53536","","EVANSVILLE","Rock"
"COOLIGINS","","","","51","Ground water","85 E DIVISION ST
FOND DU LAC, WI 54935","","VAN DYNE","Fond du Lac"
"COON VALLEY SALES BARN","","","","50","Ground water","E5945 HWY 14/61
BOX 399
Coon Valley, WI 54623","","COON VALLEY","Vernon"
"COON VALLEY WATERWORKS","","","","765","Ground water","205 ANDERSON ST
PO BOX 129
COON VALLEY, WI 54623-0129","","COON VALLEY","Vernon"
"COONS DEEP LAKE CMPGD","","","","25","Ground water","505 KING STREET # 144
P.O. BOX 115
LACROSSE, WI 54601","","OXFORD","Adams"
"COONS DEEP LAKE CMPGD 2","","","","25","Ground water","505 KING STREET # 144
P.O. BOX 115
LACROSSE, WI 54601","","OXFORD","Adams"
"COONS FRANKLIN LODGE INC","","","","120","Ground water","3450 HWY 51 N
Arbor Vitae, WI 54510","","WOODRUFF","Vilas"
"COONS MHP","","","","75","Ground water","505 KING STREET # 144
P.O. BOX 115
LACROSSE, WI 54601","","OXFORD","Adams"
"COONTAIL CORNER","","","","40","Ground water","PO BOX 351
BOULDER JUNCTION, WI 54512","","BOULDER JCT","Vilas"
"COOP TAVERN THE","","","","25","Ground water","6504 CTH NN
Denmark, WI 54208","","DENMARK","Brown"
"COOPER SHOP SALOON","","","","26","Ground water","30 MAIN ST, VIL OF KEKOSKEE
MAYVILLE, WI 53050","","MAYVILLE","Dodge"
"COPPER DOCK","","","","25","Ground water","1474 E FRIESS LAKE DRIVE
HUBERTUS, WI 53033-9733","","HUBERTUS","Washington"
"COPPER SPRINGS MOTEL","","","","32","Ground water","S2739 TWIN PINE RD
REEDSBURG, WI 53959","","REEDSBURG","Sauk"
"CORDELLAS SOUTH BAY RESORT","","","","30","Ground water","1055 SOUTH BAY ROAD
ST. GERMAIN, WI 54558","","ST GERMAIN","Vilas"
"CORK N BARREL","","","","25","Ground water","501 S MAIN ST
NEWBURG, WI 52060","","NEWBURG","Washington"
"CORKYS","","","","50","Ground water","CURTISS & ROXANNE FILTZ
2505 S CTH Y
CUSTER, WI 54423","","ROSHOLT","Marathon"
"CORNELL LAKE CAMPGROUND EAST","","","","40","Ground water","16679 190TH AVE
BLOOMER, WI 54724","","BLOOMER","Chippewa"
"CORNELL LAKE RESORT & CMPGD","","","","150","Ground water","16679 190TH AVE
BLOOMER, WI 54724","","BLOOMER","Chippewa"
