"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"CHALET VILLAGE","","","","35","Ground water","PO BOX 7003
GILFORD, NH 03246","","GILFORD","Belknap"
"CHALK POND WATER","","","","200","Ground water","DBA CHALK POND WATER CO
26 SQUIRREL HILL RD
ACTON, MA 01720","","NEWBURY","Merrimack"
"CHANDLER PLACE APTS","","","","44","Ground water","155 N BROADWAY
SALEM, NH 03079","","PLAISTOW","Rockingham"
"CHANDLER TERRACE","","","","30","Ground water","28 CHANDLER AVE UT 13
PLAISTOW, NH 03865","","PLAISTOW","Rockingham"
"CHARLESTOWN WATER WORKS","","","","2,500","Ground water","PO BOX 385
CHARLESTOWN, NH 03603","","CHARLESTOWN","Sullivan"
"CHARMINGFARE FARM","","","","50","Ground water","MAUREEN A PYTERAF REV TRUST
774 HIGH ST
CANDIA, NH 03034","","CANDIA","Rockingham"
"CHEN YANG LI RESTAURANT","","","","300","Ground water","C/O JAMES JIANG
520 SOUTH ST
BOW, NH 03304","","BOW","Merrimack"
"CHERRY VALLEY CONDOS","","","","90","Ground water","1440 LAKE SHORE RD
GILFORD, NH 03249","","GILFORD","Belknap"
"CHESHIRE COUNTY COMPLEX","","","","380","Surface water","12 COURT ST
KEENE, NH 03431","","WESTMORELAND","Cheshire"
"CHESHIRE FAIRGROUNDS","","","","25","Ground water","247 MONADNOCK HWY
SWANZEY, NH 03446","","SWANZEY","Cheshire"
"CHESHIRE MARKET PLACE","","","","200","Ground water","875 EAST ST
TEWKSBURY, MA 01876","","RINDGE","Cheshire"
"CHESHIRE MILLS BOARDING HOUSE","","","","44","Ground water","PO BOX 79
HARRISVILLE, NH 03450","","HARRISVILLE","Cheshire"
"CHESLEYS MHP","","","","60","Ground water","PO BOX 688
CAMPTON, NH 03223","","CAMPTON","Grafton"
"CHESTER ACADEMY","","","","645","Ground water","22 MURPHY DR
CHESTER, NH 03044","","CHESTER","Rockingham"
"CHESTER BROOK","","","","100","Ground water","98 LADY SLIPPER LN
CHESTER, NH 03036","","CHESTER","Rockingham"
"CHESTER GENERAL STORE","","","","100","Ground water","2 HAVERHILL RD
CHESTER, NH 03036","","CHESTER","Rockingham"
"CHESTER MUNICIPAL CENTER/GYM","","","","100","Ground water","84 CHESTER ST
CHESTER, NH 03036","","CHESTER","Rockingham"
"CHESTERBROOK SCH OF NTRL LRNG","","","","28","Ground water","232 FREMONT RD
CHESTER, NH 03036","","CHESTER","Rockingham"
"CHESTERFIELD CENTRAL SCH","","","","322","Ground water","193 MAPLE AVE
KEENE, NH 03431","","CHESTERFIELD","Cheshire"
"CHESTERFIELD INN","","","","32","Ground water","20 CROSS RD
W CHESTERFIELD, NH 03466","","CHESTERFIELD","Cheshire"
"CHESTERFIELD PETRO","","","","500","Ground water","88 LEROY RD
WILLISTON, VT 05495","","CHESTERFIELD","Cheshire"
"CHESTERFIELD PUBLIC LIBRARY","","","","30","Ground water","PO BOX 175
CHESTERFIELD, NH 03443","","CHESTERFIELD","Cheshire"
"CHESTNUT CHRISTIAN PRESCHOOL","","","","34","Ground water","236 CHESTNUT HILL RD
NEW BOSTON, NH 03070","","NEW BOSTON","Hillsborough"
"CHICHESTER CENTRAL SCH","","","","261","Ground water","219 MAIN ST
CHICHESTER, NH 03258","","CHICHESTER","Merrimack"
"CHICHESTER COUNTRY STORE","","","","50","Ground water","PO BOX 121
BARNSTEAD, NH 03218","","CHICHESTER","Merrimack"
"CHILDRENS CTR FOR CREATVE LRNG","","","","40","Ground water","57 WEST MAIN ST
BRADFORD, NH 03221","","BRADFORD","Merrimack"
"CHINA GARDEN RESTAURANT","","","","200","Ground water","200 DW HWY
BELMONT, NH 03220","","BELMONT","Belknap"
"CHISHOLM FARM","","","","168","Ground water","11 COURT ST
EXETER, NH 03833","","STRATHAM","Rockingham"
"CHOCORUA CAMPING VILLAGE","","","","180","Ground water","86 STEPPING STONE RD
LEE, NH 03861","","TAMWORTH","Carroll"
"CHOCORUA MEADOWS","","","","53","Ground water","PO BOX 226
CHOCORUA, NH 03817","","TAMWORTH","Carroll"
"CHOCORUA WOODS","","","","16","Ground water","PO BOX 746
CENTER CONWAY, NH 03813","","TAMWORTH","Carroll"
"CHRISTMAS FARM INN AND SPA","","","","110","Ground water","PO BOX 828
JACKSON, NH 03846","","JACKSON","Carroll"
"CHRISTS CHURCH OF AMHERST","","","","28","Ground water","58 MERRIMACK RD
AMHERST, NH 03031","","AMHERST","Hillsborough"
"CHRYSANTHIS RESTAURANT","","","","75","Ground water","204 RTE 13
BROOKLINE, NH 03033","","BROOKLINE","Hillsborough"
"CHUCKSTERS","","","","300","Ground water","9 BAILEY RD
CHICHESTER, NH 03258","","HOOKSETT","Merrimack"
"CHUCKSTERS","","","","300","Ground water","9 BAILEY RD
CHICHESTER, NH 03258","","CHICHESTER","Merrimack"
"CINDYS PLACE","","","","84","Ground water","6 RIDER LN
DERRY, NH 03038","","WAKEFIELD","Carroll"
"CIRCLE 9 RANCH CAMPGROUND","","","","395","Ground water","PO BOX 580
EPSOM, NH 03234","","EPSOM","Merrimack"
"CIRCLE CAMP","","","","60","Ground water","PO BOX 815
PLYMOUTH, NH 03264","","GROTON","Grafton"
"CIRCLE DENTAL OFFICE","","","","50","Ground water","71 NH RTE 104  4/12
MEREDITH, NH 03253","","MEREDITH","Belknap"
"CLAREMONT WATER DEPT","","","","9,000","Surface water","338 PLAINS RD
CLAREMONT, NH 03743","","CLAREMONT","Sullivan"
"CLEARWATER CAMPGROUND","","","","388","Ground water","DBA CLEARWOODS CAMPING INC
25 CAMPGROUND RD
MEREDITH, NH 03253","","MEREDITH","Belknap"
"CLEARWATER COVE CONDOS","","","","25","Ground water","40 WINSTON AVE
WARWICK, RI 02886","","GILFORD","Belknap"
"CNSP DRY RIVER CAMPGROUND","","","","65","Ground water","NH STATE PARKS
PO BOX 41
WEST OSSIPEE, NH 03890","","HARTS LOCATION","Carroll"
"COACH AND FOUR MOTOR INN","","","","60","Ground water","755 MONADNOCK HWY
MARLBOROUGH, NH 03446","","MARLBOROUGH","Cheshire"
"COACH RUN CONDOS","","","","60","Ground water","PO BOX 639
DERRY, NH 03038","","HAMPSTEAD","Rockingham"
"COACHMAN CONDOS","","","","50","Ground water","30 WATERMAN AVE
CRANSTON, RI 02910","","CAMPTON","Grafton"
"COBBETTS PROFESSIONAL PARK","","","","49","Ground water","31 LOWELL RD UT 4
WINDHAM, NH 03087","","WINDHAM","Rockingham"
"COBBLE POND FARMS","","","","50","Ground water","PO BOX 394
CENTER CONWAY, NH 08313","","CONWAY","Carroll"
"COE BROWN ACADEMY","","","","796","Ground water","907 FIRST NH TPKE
NORTHWOOD, NH 03261","","NORTHWOOD","Rockingham"
"COE BROWN ATHLETIC FIELD","","","","200","Ground water","907 FIRST NH TPKE
NORTHWOOD, NH 03261","","NORTHWOOD","Rockingham"
"COE BROWN SMITH HALL","","","","789","Ground water","907 FIRST NH TPKE
NORTHWOOD, NH 03261","","NORTHWOOD","Rockingham"
"COFFEE CABOOSE","","","","25","Ground water","203 EASTERN AVE
MALDEN, MA 02148","","OSSIPEE","Carroll"
"COGSWELL SPRINGS WATER WORKS","","","","2,500","Ground water","146 DAVISON RD
HENNIKER, NH 03242","","HENNIKER","Merrimack"
"COLBY BROOK ESTATES","","","","68","Ground water","PO BOX 1019
EPSOM, NH 03234","","EPSOM","Merrimack"
"COLBY POND","","","","400","Ground water","54 SAWYER AVE
ATKINSON, NH 03811","","DANVILLE","Rockingham"
"COLD RIVER CAMPGROUND","","","","35","Ground water","105 FLETCHER FARM RD
ALEXANDRIA, NH 03222","","CHATHAM","Carroll"
"COLD SPRINGS 3/WEST","","","","250","Ground water","40 WILDLIFE DR
WEARE, NH 03281","","WEARE","Hillsborough"
"COLD SPRINGS CAMPGROUND/PH","","","","657","Ground water","40 WILDLIFE DR
WEARE, NH 03281","","WEARE","Hillsborough"
"COLEBROOK REST AREA","","","","200","Ground water","1 EAGLE SQ STE 100
CONCORD, NH 03301","","COLEBROOK","Coos"
"COLEBROOK WATER WORKS","","","","1,200","Ground water","17 BRIDGE ST
COLEBROOK, NH 03576","","COLEBROOK","Coos"
"COLEMAN STATE PK VISITORS CTR","","","","25","Ground water","435 RIVER RD
PITTSBURG, NH 03592","","STEWARTSTOWN","Coos"
"COLLINS LANDING","","","","180","Ground water","76 NORTHEASTERN BLVD UT 28
NASHUA, NH 03062","","WEARE","Hillsborough"
"COLONIAL PARK","","","","45","Ground water","25 ORCHARD VIEW DR
LONDONDERRY, NH 03053","","AMHERST","Hillsborough"
"COLONIAL POPLIN NURSING HOME","","","","78","Ground water","442 MAIN ST  STE 1
FREMONT, NH 03044","","FREMONT","Rockingham"
"COLONIAL WAY PLAZA","","","","28","Ground water","43 BRIDGE ST
PELHAM, NH 03076","","PELHAM","Hillsborough"
"COMCAST CABLE COMMS WAREHOUSE","","","","25","Ground water","322 NASHUA RD
LONDONDERRY, NH 03053","","LONDONDERRY","Rockingham"
"COMMERCE CORNER","","","","65","Ground water","2 SUNSET LN
DEERFIELD, NH 03037","","DEERFIELD","Rockingham"
"COMMON CAFE AND ANTIQUES THE","","","","50","Ground water","2 QUINCY RD
RUMNEY, NH 03266","","RUMNEY","Grafton"
"COMMONS AT WINDHAM 1/WEST BLDG","","","","25","Ground water","25 INDIAN ROCK RD
WINDHAM, NH 03087","","WINDHAM","Rockingham"
"COMMONS AT WINDHAM 2/EAST BLDG","","","","50","Ground water","25 INDIAN ROCK RD
WINDHAM, NH 03087","","WINDHAM","Rockingham"
"COMMONS OF ATKINSON","","","","95","Ground water","PO BOX 1947
MERRIMACK, NH 03054","","ATKINSON","Rockingham"
"COMMUNITY CHURCH OF NEW BOSTON","","","","50","Ground water","133 HOOPER HILL RD
NEW BOSTON, NH 03070","","NEW BOSTON","Hillsborough"
"COMMUNITY MARKET AND DELI","","","","30","Ground water","25 EIDELWEISS DR
MADISON, NH 03849","","MADISON","Carroll"
"COMMUNITY SCH","","","","45","Ground water","1164 BUNKER HILL RD
SOUTH TAMWORTH, NH 03883","","TAMWORTH","Carroll"
"COMPUTER RESOURCES","","","","27","Ground water","PO BOX 60
BARRINGTON, NH 03825","","BARRINGTON","Strafford"
"CONCORD ELKS LODGE 1210","","","","150","Ground water","PO BOX 1012
EPSOM, NH 03234","","EPSOM","Merrimack"
"CONCORD GROUP","","","","64","Ground water","1440 LAKE SHORE RD
GILFORD, NH 03249","","BOW","Merrimack"
"CONCORD WATER DEPT","","","","44,000","Surface water","311 N STATE ST
CONCORD, NH 03301","","CONCORD","Merrimack"
"CONE RIDGE APTS","","","","30","Ground water","PO BOX 809
CAMPTON, NH 03223","","THORNTON","Grafton"
"CONGREGATIONAL CHURCH","","","","25","Ground water","4 RESURRECTION CIR
NASHUA, NH 03063","","HOLLIS","Hillsborough"
"CONISTON GENERAL STORE","","","","80","Ground water","870 ROUTE 10
CROYDON, NH 03773","","CROYDON","Sullivan"
"CONNECTICUT RIVER MHP","","","","50","Ground water","PO BOX 5254
WEST LEBANON, NH 03784","","CHARLESTOWN","Sullivan"
"CONNIES PLAZA","","","","250","Ground water","98 ROBINSON RD
HUDSON, NH 03051","","HUDSON","Hillsborough"
"CONNOLLY CABINS AND CAMPGROUND","","","","80","Ground water","16 MARTHAS WAY
STRATFORD, NH 03590","","STRATFORD","Coos"
"CONNOR COURT","","","","51","Ground water","8 CLUB HOUSE WAY
AMHERST, NH 03031","","AMHERST","Hillsborough"
"CONTINENTAL RECREATION PARK","","","","200","Ground water","268B MAMMOTH RD
LONDONDERRY, NH 03053","","LONDONDERRY","Rockingham"
"CONTOOCOOK VILLAGE PCT","","","","1,600","Surface water","PO BOX 414
CONTOOCOOK, NH 03229","","HOPKINTON","Merrimack"
"CONWAY MUNICIPAL CENTER","","","","36","Ground water","PO BOX 280
INTERVALE, NH 03845","","CONWAY","Carroll"
"CONWAY SEVENTH DAY ADV CHURCH","","","","30","Ground water","331 HANCOCK POND RD
SEBAGO, ME 04029","","CONWAY","Carroll"
"CONWAY TOWN HALL","","","","45","Ground water","PO BOX 280
INTERVALE, NH 03845","","CONWAY","Carroll"
"CONWAY VILLAGE FIRE DIST","","","","2,665","Ground water","128 W MAIN ST
CONWAY, NH 03818","","CONWAY","Carroll"
"COOPER HILL PIZZERIA","","","","125","Ground water","261 FIRST NH TPKE
NORTHWOOD, NH 03261","","NORTHWOOD","Rockingham"
"COOPERS CORNER/EAST","","","","40","Ground water","22 MANCHESTER RD
DERRY, NH 03038","","FREMONT","Rockingham"
"COOPERS GROVE","","","","42","Ground water","54 SAWYER AVE
ATKINSON, NH 03811","","KINGSTON","Rockingham"
"COPPER CANNON OTR ED CENTER","","","","75","Ground water","GALE RIVER RD
PO BOX 124
FRANCONIA, NH 03580","","BETHLEHEM","Grafton"
"COPPLE CROWN VILLAGE DISTRICT","","","","80","Ground water","81 MOUNTAIN DR
NEW DURHAM, NH 03855","","NEW DURHAM","Strafford"
"CORNER HOUSE INN","","","","100","Ground water","22 MAIN ST
CENTER SANDWICH, NH 03227","","SANDWICH","Carroll"
"CORNERSTONE CHRISTIAN ACADEMY","","","","72","Ground water","129 RTE 28
OSSIPEE, NH 03864","","OSSIPEE","Carroll"
"CORNERSTONE ESTATES","","","","202","Ground water","54 SAWYER AVE
ATKINSON, NH 03811","","SANDOWN","Rockingham"
"CORNERSTONE PLACE","","","","27","Ground water","PO BOX 10483
BEDFORD, NH 03110","","DEERFIELD","Rockingham"
"CORNERSTONE SCHOOL","","","","210","Ground water","146 HIGH ST
STRATHAM, NH 03885","","STRATHAM","Rockingham"
"CORNISH ELEMENTARY SCH","","","","140","Ground water","274 TOWN HOUSE RD
CORNISH, NH 03745","","CORNISH","Sullivan"
"CORNISH GENERAL STORE","","","","70","Ground water","301 LANG RD
CORNISH, NH 03745","","CORNISH","Sullivan"
"COTTAGE PLACE ON SQUAM LAKE","","","","70","Ground water","2 FLANDERS RD
MEREDITH, NH 03253","","HOLDERNESS","Grafton"
"COTTAGES AT WINDCHIMES","","","","75","Ground water","PO BOX 1438
CONCORD, NH 03302","","BOW","Merrimack"
"COTTON COVE COTTAGES","","","","50","Ground water","PO BOX 76
HOLDERNESS, NH 03245","","HOLDERNESS","Grafton"
"COTTON FARMS MHP","","","","390","Ground water","PO BOX 748
EAST HAMPSTEAD, NH 03826","","DANVILLE","Rockingham"
"COUNTRY CIRCLE RESTAURANT","","","","250","Ground water","13 GREENVIEW DR
LOUDON, NH 03307","","EPSOM","Merrimack"
"COUNTRY CLUB FOR KIDS","","","","61","Ground water","23 PRESCOTT RD
RAYMOND, NH 03077","","FREMONT","Rockingham"
"COUNTRY CLUB OF NEW HAMPSHIRE","","","","120","Ground water","PO BOX 142
NORTH SUTTON, NH 03260","","SUTTON","Merrimack"
"COUNTRY COOK N AT THE LAKESIDE","","","","360","Ground water","1457 LAKESHORE RD
GILFORD, NH 03249","","GILFORD","Belknap"
"COUNTRY GOODS AND GROCERIES","","","","30","Ground water","PO BOX 301
EAST WAKEFIELD, NH 03830","","WAKEFIELD","Carroll"
"COUNTRY HILLS OF EAST KINGSTON","","","","93","Ground water","PO BOX 1947
MERRIMACK, NH 03054","","EAST KINGSTON","Rockingham"
"COUNTRY LANE MANOR","","","","85","Ground water","843 HIGH ST
CANDIA, NH 03034","","CANDIA","Rockingham"
"COUNTRY MEADOWS","","","","90","Ground water","PO BOX 823
NEW HAMPTON, NH 03256","","TILTON","Belknap"
"COUNTRY PLACE","","","","50","Ground water","85 EDGEWATER DR
BARRINGTON, NH 03825","","BARRINGTON","Strafford"
"COUNTRY POND CAMPGROUND","","","","147","Ground water","106 POND ST
NEWTON, NH 03858","","NEWTON","Rockingham"
"COUNTRY RIDGE MOBILE HOME PARK","","","","25","Ground water","16 COUNTRY RIDGE PK
ROCHESTER, NH 03867","","ROCHESTER","Strafford"
"COUNTRY SHORE CAMPGROUND","","","","405","Ground water","PO BOX 559
PLAISTOW, NH 03865","","KINGSTON","Rockingham"
"COUNTRY THREE CORNERS","","","","300","Ground water","833 S STARK HWY
WEARE, NH 03281","","WEARE","Hillsborough"
"COUNTRY VILLAGE MHP","","","","66","Ground water","PO BOX 269
FRANKLIN, NH 03235","","CANAAN","Grafton"
"COUNTRY VILLAGE WAY","","","","100","Ground water","2761 LAKE SHORE RD UT 17
GILFORD, NH 03249","","GILFORD","Belknap"
"COVE COTTAGES/WATER MONKEY","","","","30","Ground water","1465 HOOKSETT RD UT 385
HOOKSETT, NH 03106","","NEW DURHAM","Strafford"
"COVERED BRIDGE CAMPGROUND 25","","","","28","Ground water","105 FLETCHER FARM RD
ALEXANDRIA, NH 03222","","ALBANY","Carroll"
"COVERED BRIDGE CAMPGROUND 40","","","","50","Ground water","105 FLETCHER FARM RD
ALEXANDRIA, NH 03222","","ALBANY","Carroll"
"COVERED BRIDGE CAMPGROUND 5","","","","40","Ground water","105 FLETCHER FARM RD
ALEXANDRIA, NH 03222","","ALBANY","Carroll"
"COVERED BRIDGE FARM TABLE","","","","410","Ground water","57 BLAIR RD
CAMPTON, NH 03223","","CAMPTON","Grafton"
"COW HILL WELLHOUSE","","","","150","Ground water","C/O EG CHANDLER INC
PO BOX 720
GLEN, NH 03838","","BARTLETT","Carroll"
"COWBELL CORNERS","","","","27","Ground water","PO BOX 103
NORTH SALEM, NH 03073","","DERRY","Rockingham"
"COZY POND CAMPING RESORT/EAST","","","","33","Ground water","541 BATTLE ST
WEBSTER, NH 03303","","WEBSTER","Merrimack"
"COZY POND CAMPING RESORT/WEST","","","","100","Ground water","541 BATTLE ST
WEBSTER, NH 03303","","WEBSTER","Merrimack"
"CRAWFORD HILLS","","","","118","Ground water","12 LINCOLN ST
ARLINGTON, MA 02476","","BARTLETT","Carroll"
"CRAWFORD NOTCH CAMPGROUND","","","","250","Ground water","1138 RTE 302
HARTS LOCATION, NH 03812","","HARTS LOCATION","Carroll"
"CRAWFORD NOTCH ST PK/SNACK BAR","","","","100","Ground water","PO BOX 41
WEST OSSIPEE, NH 03890","","HARTS LOCATION","Carroll"
"CRAWFORD POND","","","","58","Ground water","171 MARLBOROUGH ST UT 3
BOSTON, MA 02116","","BARTLETT","Carroll"
"CRAZY HORSE CAMPGROUND","","","","25","Ground water","788 HILLTOP RD
LITTLETON, NH 03561","","LITTLETON","Grafton"
"CREATIVE LITTLE ANGELS","","","","167","Ground water","40 MAMMOTH RD
LONDONDERRY, NH 03053","","LONDONDERRY","Rockingham"
"CRESCENT CAMPSITES/NORTH","","","","211","Ground water","118 NORTH RD
SUNAPEE, NH 03782","","CANAAN","Grafton"
"CRESCENT CAMPSITES/SOUTH","","","","25","Ground water","118 NORTH RD
SUNAPEE, NH 03782","","CANAAN","Grafton"
"CRN REALTY","","","","190","Ground water","32 GOSS RD
NORTH HAMPTON, NH 03862","","HAMPTON FALLS","Rockingham"
"CROSS RIDGE ESTATES","","","","73","Ground water","PO BOX 1947
MERRIMACK, NH 03054","","PLAISTOW","Rockingham"
"CROSSING LIFE CHURCH","","","","220","Ground water","125 N LOWELL RD
WINDHAM, NH 03087","","WINDHAM","Rockingham"
"CROSSROADS ACADEMY","","","","162","Ground water","19 JOHNSON CIR
TUNBRIDGE, VT 05077","","LYME","Grafton"
"CROSSROADS ACADEMY/NORTH","","","","180","Ground water","19 JOHNSON CIR
TUNBRIDGE, VT 05077","","LYME","Grafton"
"CROSSROADS BAPTIST CHURCH","","","","50","Ground water","43 ATWOOD RD
PELHAM, NH 03076","","PELHAM","Hillsborough"
"CROSSROADS COUNTRY STORE","","","","50","Ground water","4 BRIMSTONE HILL RD STE 7
EPSOM, NH 03234","","SALISBURY","Merrimack"
"CROSSWINDS","","","","73","Ground water","PO BOX 1107
CENTER HARBOR, NH 03226","","MOULTONBOROUGH","Carroll"
"CROTCHED MOUNTAIN GOLF CLUB","","","","93","Ground water","740 2ND NH TPKE NORTH
FRANCESTOWN, NH 03043","","FRANCESTOWN","Hillsborough"
"CROTCHED MOUNTAIN MNTNC","","","","115","Ground water","PO BOX 1947
MERRIMACK, NH 03054","","FRANCESTOWN","Hillsborough"
"CROTCHED MOUNTAIN REHAB CENTER","","","","750","Ground water","1 VERNEY DR
GREENFIELD, NH 03047","","GREENFIELD","Hillsborough"
"CROTCHED MOUNTAIN SKI AREA","","","","1,500","Ground water","615 FRANCESTOWN RD
BENNINGTON, NH 03442","","BENNINGTON","Hillsborough"
"CROWN POINT CAMPGROUND","","","","285","Ground water","9919 STEPHEN DECATUR HWY
OCEAN CITY, MD 21842","","STRAFFORD","Strafford"
"CROWN POINT CAMPGROUND/UPPER","","","","53","Ground water","9919 STEPHEN DECATUR HWY
OCEAN CITY, MD 21842","","STRAFFORD","Strafford"
"CROWS NEST CAMPGROUND","","","","273","Ground water","529 S MAIN ST
NEWPORT, NH 03773","","NEWPORT","Sullivan"
"CROWS NEST PUB AND GRILL","","","","130","Ground water","66A NEW BOSTON RD
KINGSTON, NH 03848","","PLAISTOW","Rockingham"
"CROYDON VILLAGE SCH","","","","33","Ground water","247 N MAIN ST
NEWPORT, NH 03773","","CROYDON","Sullivan"
"CRUCON CRUISE OUTLET","","","","130","Ground water","22 MANCHESTER RD UT 2
DERRY, NH 03038","","MOULTONBOROUGH","Carroll"
"CRYSTAL SPRINGS CONDOS","","","","38","Ground water","PO BOX 132
GILMANTON IW, NH 03837","","GILMANTON","Belknap"
"CTR BARNSTEAD CHRISTIAN CHURCH","","","","85","Ground water","56 SARGENT RD
PITTSFIELD, NH 03263","","BARNSTEAD","Belknap"
"CTR FOR CONTEMPORARY DENTISTRY","","","","45","Ground water","48 COVENTRY RD
CONCORD, NH 03301","","BELMONT","Belknap"
"CUMBERLAND FARMS","","","","200","Ground water","142 PLAISTOW RD
PLAISTOW, NH 03865","","PLAISTOW","Rockingham"
"CUMBERLAND FARMS","","","","150","Ground water","996 PORTLAND AVE
ROLLINSFORD, NH 03869","","ROLLINSFORD","Strafford"
"CURRIERS MHP","","","","24","Ground water","PO BOX 1157
LEBANON, NH 03766","","LEBANON","Grafton"
"CYR LUMBER","","","","60","Ground water","PO BOX 837
WINDHAM, NH 03087","","WINDHAM","Rockingham"
"D W INDUSTRIAL CONDOS","","","","40","Ground water","722 E INDUSTRIAL PARK DR UT 14
MANCHESTER, NH 03109","","HOOKSETT","Merrimack"
"DAN GABRIEL INC","","","","50","Ground water","270 GULF RD
DOVER, NH 03820","","LEE","Strafford"
"DANBURY COUNTRY STORE","","","","25","Ground water","289 RAGGED MOUNTAIN RD
DANBURY, NH 03230","","DANBURY","Merrimack"
"DANBURY ELEMENTARY SCH","","","","85","Ground water","20 N MAIN ST
BRISTOL, NH 03222","","DANBURY","Merrimack"
"DANFORTH BAY CAMPING RESORT","","","","318","Ground water","196 SHAWTOWN RD
FREEDOM, NH 03849","","FREEDOM","Carroll"
"DANIEL J BAKIE SCH","","","","440","Ground water","17 DANVILLE RD
KINGSTON, NH 03848","","KINGSTON","Rockingham"
"DANTES PASTA AND VINO","","","","100","Ground water","PO BOX 474
BARRINGTON, NH 03825","","BARRINGTON","Strafford"
"DANVILLE ELEMENTARY","","","","340","Ground water","PO BOX 1947
MERRIMACK, NH 03054","","DANVILLE","Rockingham"
"DANVILLE MARKET","","","","25","Ground water","45 KATHARINE DR
LOWELL, MA 01854","","DANVILLE","Rockingham"
"DARBY FIELD COMMONS","","","","70","Ground water","20 BARRY DR
GALES FERRY, CT 06335","","LEE","Strafford"
"DARBY FIELD INN THE","","","","32","Ground water","185 CHASE HILL RD
ALBANY, NH 03818","","ALBANY","Carroll"
"DARTMOUTH SKIWAY","","","","800","Ground water","37 DEWEY FIELD RD  HB 6216
HANOVER, NH 03755","","LYME","Grafton"
"DAVIDSONS COUNTRYSIDE CPGD","","","","365","Ground water","DBA DAVIDSONS COUNTRYSIDE CPGD
100 SCHOFIELD RD
BRISTOL, NH 03222","","BRISTOL","Grafton"
"DAVIS CABINS ON LAKE SUNAPEE","","","","45","Ground water","PO BOX 63
NEWBURY, NH 03255","","NEWBURY","Merrimack"
"DAVIS HILL","","","","75","Ground water","465 DAVIS HILL RD
CENTER CONWAY, NH 03813","","CONWAY","Carroll"
"DAYS INN CAMPTON NH","","","","210","Ground water","87 WALLACE HILL RD
FRANCONIA, NH 03580","","CAMPTON","Grafton"
"DC MOBIL","","","","40","Ground water","179 RAYMOND RD
CANDIA, NH 03034","","CANDIA","Rockingham"
"DEARBORN RIDGE","","","","25","Ground water","54 SAWYER AVE
ATKINSON, NH 03811","","ATKINSON","Rockingham"
"DECCO","","","","50","Ground water","PO BOX 1947
MERRIMACK, NH 03054","","BROOKLINE","Hillsborough"
"DEEPHAVEN CAMP","","","","530","Ground water","18 BACON RD
HOLDERNESS, NH 03245","","HOLDERNESS","Grafton"
"DEEPWOOD LODGES","","","","45","Ground water","13 WHEELER RD
BOW, NH 03304","","MOULTONBOROUGH","Carroll"
"DEER CAP CAMPGROUNDS","","","","180","Ground water","PO BOX 332
CENTER OSSIPEE, NH 03814","","OSSIPEE","Carroll"
"DEER COVE WATER","","","","123","Ground water","PO BOX 389
MOULTONBOROUGH, NH 03254","","OSSIPEE","Carroll"
"DEER ESTATES","","","","60","Ground water","22 CASTLE DR
MILAN, NH 03588","","MILAN","Coos"
"DEER MEADOWS","","","","150","Ground water","114 FLINTLOCK RD
CONTOOCOOK, NH 03229","","HOPKINTON","Merrimack"
"DEER RUN","","","","148","Ground water","PO BOX 389
MOULTONBOROUGH, NH 03254","","CAMPTON","Grafton"
"DEERBROOK CONDOS","","","","80","Ground water","PO BOX 280
INTERVALE, NH 03845","","CONWAY","Carroll"
"DEERFIELD BIBLE CHURCH","","","","25","Ground water","9 CHURCH ST
DEERFIELD, NH 03037","","DEERFIELD","Rockingham"
"DEERFIELD COMMUNITY SCH","","","","630","Ground water","66 NORTH RD
DEERFIELD, NH 03047","","DEERFIELD","Rockingham"
"DEERFIELD FAIRGROUNDS","","","","250","Ground water","PO BOX  156
DEERFIELD, NH 03037","","DEERFIELD","Rockingham"
"DEERFIELD MART","","","","400","Ground water","2 MOUNTAIN VIEW RD
DEERFIELD, NH 03037","","DEERFIELD","Rockingham"
"DEL ROSSIS TRATTORIA","","","","100","Ground water","PO BOX 337
DUBLIN, NH 03444","","DUBLIN","Cheshire"
"DELAYS HARVESTER MARKET","","","","150","Ground water","783 FORREST RD
GREENFIELD, NH 03047","","GREENFIELD","Hillsborough"
"DEN BRAE GOLF COURSE","","","","75","Ground water","80 PRESCOTT RD
SANBORNTON, NH 03269","","SANBORNTON","Belknap"
"DEPOT CROSSING","","","","300","Ground water","598 MAIN ST
HAMPSTEAD, NH 03841","","HAMPSTEAD","Rockingham"
"DERRY SALEM ELKS LODGE 2226","","","","200","Ground water","BOX 130
SALEM, NH 03079","","SALEM","Rockingham"
"DERRY WATER DEPT","","","","17,200","Surface water purchased","DEPARTMENT OF PUBLIC WORKS
14 MANNING ST
DERRY, NH 03038","","DERRY","Rockingham"
"DEXTERS INN","","","","30","Ground water","258 STAGECOACH RD
SUNAPEE, NH 03782","","SUNAPEE","Sullivan"
"DIAMOND CASTING AND MACHINE","","","","60","Ground water","PO BOX 420
HOLLIS, NH 03049","","HOLLIS","Hillsborough"
"DIAMOND PEAKS MOTEL AND STORE","","","","75","Ground water","1216 RTE 26
COLEBROOK, NH 03576","","COLEBROOK","Coos"
"DIAMOND VIEW","","","","63","Ground water","8 PHILLIPSWOOD RD
SANDOWN, NH 03873","","GILFORD","Belknap"
"DIMITRIOUS FAMILY RESTAURANT","","","","50","Ground water","PO BOX 312
PELHAM, NH 03076","","PELHAM","Hillsborough"
