Utility,Pages,Total Tests,Failed,Warning,Passed,User Verify,Not Applicable,ASCORE
IL0312760,6,45,171,9,5,2,30,2.840909091
IL0312880,8,45,7,1281,12,3,22,63.15789474
IL0314180,8,45,847,14,10,3,24,1.166861144
IL0314740,2,45,58,6,10,3,24,14.70588235
IL0315350,4,45,332,11,14,4,19,4.046242775
IL0970840,4,45,182,6,10,11,24,5.208333333
IL1430200,7,45,82,12,11,3,24,11.82795699
IL1630850,9,45,14,10,1,2,35,6.666666667
IL1970450,6,45,98,11,13,7,18,11.71171171
IN5201002,2,45,6,3,1,2,36,14.28571429
IN5221001,2,45,10,719,12,4,21,54.54545455
IN5245015,9,45,217,19,15,7,18,6.465517241
IN5247004,4,45,141,7,10,3,24,6.622516556
IN5254005,9,45,233,16,15,5,18,6.048387097
IN5257008,2,45,136,3,6,2,31,4.225352113
IN5279015,7,45,54,7,15,13,19,21.73913043
IN5287001,4,45,9,11,5,3,31,35.71428571
IN5287004,8,45,194,15,15,5,19,7.177033493
KS2004503,4,45,394,11,13,4,19,3.194103194
KS2010312,4,45,318,10,8,4,24,2.45398773
KS2010313,2,45,10,11,0,3,36,0
KY0310114,2,45,483,8,10,4,23,2.028397566
KY0540936,2,45,77,3,2,4,34,2.53164557
KY0960126,3,45,4,3,1,6,36,20
KY1130422,3,45,17,4,2,3,34,10.52631579
KY1150415,2,45,6,3,1,2,36,14.28571429
KY1180468,5,45,125,6,8,5,29,6.015037594
LA1015040,6,45,244,14,8,3,25,3.174603175
LA1023011,6,45,239,18,8,3,25,3.238866397
LA1041006,7,45,325,19,8,3,25,2.402402402
LA1053013,6,45,254,18,8,3,25,3.053435115
LA1073046,7,45,267,20,8,3,25,2.909090909
LA1101011,7,45,243,10,11,3,24,4.330708661
MA2002000,10,45,16,10,11,5,25,40.74074074
MA2151001,10,45,150,24,15,4,18,9.090909091
MA2153000,7,45,510,13,14,3,19,2.671755725
MA2316000,5,45,158,11,13,3,19,7.602339181
MA3254000,14,45,409,34,14,9,19,3.309692671
MA3274000,8,45,352,12,10,13,23,2.762430939
MA3342000,9,45,426,14,10,13,22,2.293577982
MA3344000,8,45,426,13,10,13,23,2.293577982
MA4219000,4,45,566,12,12,5,19,2.076124567
MD0010005,11,45,16,12,1,2,35,5.882352941
MD0010009,11,45,16,12,1,2,35,5.882352941
MD0060012,5,45,153,8,14,7,19,8.383233533
MD0100025,5,45,5,5,11,5,26,68.75
MD0170001,6,45,336,16,14,5,18,4
MI0001740,6,45,81,11,13,6,19,13.82978723
MI0003760,12,45,313,21,13,8,18,3.987730061
MI0003780,7,45,80,15,14,4,22,14.89361702
MI0004090,4,45,29,6,7,17,27,19.44444444
MI0005440,12,45,60,13,11,12,18,15.49295775
MI0007220,2,45,22,3,11,5,23,33.33333333
MN1020013,6,45,293,4,16,8,19,5.177993528
MN1020016,3,45,57,6,13,5,21,18.57142857
MN1700007,8,45,12,9,1,2,36,7.692307692
MO1010177,3,45,178,4,7,3,30,3.783783784
MO1024111,3,45,249,8,11,4,23,4.230769231
MO4010656,3,45,223,8,9,4,24,3.879310345
MO5010576,3,45,220,7,9,4,24,3.930131004
MO6024211,3,45,243,8,10,4,23,3.95256917
MO6024213,3,45,232,5,10,4,23,4.132231405
MO6024300,3,45,213,5,10,4,23,4.484304933
MS0240084,5,45,1181,12,9,3,25,0.756302521
MS0250021,3,45,7,4,1,2,36,12.5
MS0450007,7,45,11,8,1,2,36,8.333333333
MS0610013,2,45,7,3,2,3,34,22.22222222
MS0770003,6,45,10,7,1,2,36,9.090909091
MT0000153,12,45,232,8,14,13,19,5.691056911
NC0114030,3,45,14,8,10,4,25,41.66666667
NC0188010,5,45,50,38,8,6,25,13.79310345
NC0190413,16,45,21,17,1,2,35,4.545454545
NC0416028,5,45,61,15,10,4,25,14.08450704
NC5026027,8,45,12,9,1,2,36,7.692307692
ND0901483,8,45,12,9,1,2,36,7.692307692
ND1801056,2,45,29,3,3,3,32,9.375
NE3112703,2,45,6,3,1,2,36,14.28571429
NE3115303,3,45,152,7,9,4,24,5.590062112
NJ0232001,15,45,20,16,1,2,35,4.761904762
NJ0610001,2,45,39,6,15,6,19,27.77777778
NJ0712001,13,45,396,22,15,9,18,3.649635036
NJ0808001,9,45,38,10,9,15,25,19.14893617
NJ1340001,10,45,172,25,11,6,20,6.010928962
NJ1424001,9,45,3217,21,14,7,19,0.433302383
NJ1525001,4,45,377,10,14,4,20,3.58056266
NJ2108001,2,45,10,484,3,3,31,23.07692308
NV0000011,4,45,9,6,8,8,26,47.05882353
NV0000255,4,45,617,11,10,7,23,1.594896332
NY1600012,4,45,8,5,1,3,36,11.11111111
NY2602371,6,45,31,16,10,6,26,24.3902439
NY2704518,9,45,71,10,14,16,17,16.47058824
NY2902822,5,45,23,827,3,3,31,11.53846154
NY3503531,6,45,38,8,16,5,19,29.62962963
NY3503554,6,45,4,7,5,3,31,55.55555556
NY4100041,19,45,24,20,1,2,35,4
NY5001212,8,45,14,14,14,4,20,50
NY5103705,5,45,15,688,3,3,31,16.66666667
NY5404416,14,45,50,14,12,4,25,19.35483871
NY5821130,6,45,36,9,15,4,19,29.41176471
NY5903425,6,45,155,131,8,3,25,4.90797546
