,NAME,state,place,H011001,H011004,% Renters
213,"Sanders CDP, Arizona",4,63050,630,366,0.580952381
214,"San Jose CDP, Arizona",4,63260,506,103,0.203557312
215,"Cambria CDP, California",6,10074,6031,2001,0.331785774
216,"Camanche North Shore CDP, California",6,10042,979,243,0.248212462
217,"Camanche Village CDP, California",6,10044,847,107,0.126328217
218,"Camarillo city, California",6,10046,64705,19183,0.296468588
219,"Cambrian Park CDP, California",6,10088,3268,647,0.197980416
220,"Cameron Park CDP, California",6,10256,18222,5656,0.310394029
221,"Camino CDP, California",6,10270,1750,515,0.294285714
222,"Camino Tassajara CDP, California",6,10301,2197,313,0.142467
223,"Campbell city, California",6,10345,39148,18173,0.464212731
224,"Camp Nelson CDP, California",6,10494,97,18,0.18556701
225,"Campo CDP, California",6,10508,2499,693,0.277310924
226,"Camp Pendleton North CDP, California",6,10559,3561,3512,0.98623982
227,"Cantua Creek CDP, California",6,10816,461,263,0.570498915
228,"Camp Pendleton South CDP, California",6,10561,9338,9302,0.996144785
229,"Camptonville CDP, California",6,10676,158,72,0.455696203
230,"Canby CDP, California",6,10732,154,81,0.525974026
231,"Canyondam CDP, California",6,10914,31,13,0.419354839
232,"Canyon Lake city, California",6,10928,10552,2109,0.199867324
233,"Capitola city, California",6,11040,9770,5340,0.546571136
234,"Caribou CDP, California",6,11166,0,0,0
235,"Carlsbad city, California",6,11194,104413,34558,0.330974112
236,"Carmel-by-the-Sea city, California",6,11250,3722,1524,0.409457281
237,"Carmel Valley Village CDP, California",6,11324,4403,1189,0.270043152
238,"Carpinteria city, California",6,11446,13021,6891,0.529222026
239,"Carmet CDP, California",6,11376,47,7,0.14893617
240,"Carmichael CDP, California",6,11390,60790,26348,0.43342655
241,"Carnelian Bay CDP, California",6,11418,524,179,0.341603053
242,"Carrick CDP, California",6,11481,131,49,0.374045802
243,"Carson city, California",6,11530,90411,21487,0.237659134
244,"Cartago CDP, California",6,11600,92,34,0.369565217
245,"Caruthers CDP, California",6,11614,2486,869,0.349557522
246,"Stewart Manor village, New York",36,71267,1896,173,0.091244726
247,"Stillwater village, New York",36,71322,1738,571,0.32853855
248,"Stone Ridge CDP, New York",36,71597,1169,186,0.159110351
249,"Stony Brook CDP, New York",36,71608,13645,1274,0.093367534
250,"Washington city, North Carolina",37,71220,9350,4702,0.502887701
251,"Washington Park town, North Carolina",37,71240,451,71,0.157427938
252,"Watha town, North Carolina",37,71320,190,36,0.189473684
