,NAME,state,place,H002002,H002001,% Urban
8965,"Beatrice town, Alabama",1,4900,0,167,0
8966,"Beaverton town, Alabama",1,4948,0,116,0
8967,"Benton town, Alabama",1,5692,0,20,0
8968,"Belk town, Alabama",1,5164,0,106,0
8969,"Bellamy CDP, Alabama",1,5188,0,286,0
8970,"Belle Fontaine CDP, Alabama",1,5212,0,278,0
8971,"Berry town, Alabama",1,5932,0,596,0
8972,"Bessemer city, Alabama",1,5980,11663,12369,0.942921821
8973,"Billingsley town, Alabama",1,6460,0,74,0
8974,"Birmingham city, Alabama",1,7000,107823,108981,0.989374295
8975,"Black town, Alabama",1,7120,0,101,0
8976,"Blountsville town, Alabama",1,7456,0,791,0
8977,"Twin Hills CDP, Alaska",2,79780,0,36,0
8978,"Two Rivers CDP, Alaska",2,79830,0,348,0
8979,"Tyonek CDP, Alaska",2,79890,0,144,0
8980,"Ugashik CDP, Alaska",2,80100,0,38,0
8981,"Unalakleet city, Alaska",2,80660,0,268,0
8982,"Unalaska city, Alaska",2,80770,0,1106,0
8983,"Upper Kalskag city, Alaska",2,81320,0,74,0
8984,"Valdez city, Alaska",2,82200,0,1763,0
8985,"Venetie CDP, Alaska",2,82420,0,85,0
8986,"Wasilla city, Alaska",2,83080,2944,3277,0.898382667
8987,"Blue Ridge CDP, Alabama",1,7588,181,581,0.311531842
8988,"Blue Springs town, Alabama",1,7672,0,53,0
8989,"Boaz city, Alabama",1,7912,3563,4036,0.882804757
8990,"Wainwright city, Alaska",2,82750,0,179,0
8991,"Wales city, Alaska",2,82860,0,51,0
8992,"Whale Pass CDP, Alaska",2,84000,0,61,0
8993,"White Mountain city, Alaska",2,84070,0,79,0
8994,"Whitestone CDP, Alaska",2,84120,0,26,0
8995,"Whitestone Logging Camp CDP, Alaska",2,84200,0,18,0
8996,"Whittier city, Alaska",2,84510,0,280,0
8997,"Willow CDP, Alaska",2,85280,0,1912,0
8998,"Willow Creek CDP, Alaska",2,85290,0,152,0
8999,"Yakutat CDP, Alaska",2,86490,0,383,0
9000,"Wiseman CDP, Alaska",2,85610,0,25,0
9001,"Womens Bay CDP, Alaska",2,85680,0,298,0
9002,"Wrangell city and borough, Alaska",2,86380,0,1428,0
9003,"Aguila CDP, Arizona",4,730,0,304,0
9004,"Ajo CDP, Arizona",4,870,2006,2175,0.922298851
9005,"Alamo Lake CDP, Arizona",4,1170,0,31,0
9006,"Arivaca Junction CDP, Arizona",4,3380,0,388,0
9007,"Alpine CDP, Arizona",4,1920,0,205,0
9008,"Anegam CDP, Arizona",4,2270,0,43,0
9009,"Arivaca CDP, Arizona",4,3320,0,492,0
9010,"Arizona Village CDP, Arizona",4,3915,531,531,1
9011,"Ak Chin CDP, Arizona",4,940,0,11,0
9012,"Ali Chuk CDP, Arizona",4,1560,0,60,0
9013,"Ali Chukson CDP, Arizona",4,1570,0,55,0
9014,"Ali Molina CDP, Arizona",4,1620,0,30,0
9015,"Ak-Chin Village CDP, Arizona",4,1090,141,256,0.55078125
9016,"Arizona City CDP, Arizona",4,3530,4993,5064,0.985979463
9017,"Amado CDP, Arizona",4,1990,0,207,0
9018,"Antares CDP, Arizona",4,2410,0,95,0
9019,"Anthem CDP, Arizona",4,2430,8801,8801,1
9020,"Apache Junction city, Arizona",4,2830,22507,22564,0.997473852
9021,"Arlington CDP, Arizona",4,4020,0,99,0
9022,"Ash Fork CDP, Arizona",4,4440,0,218,0
9023,"Avenue B and C CDP, Arizona",4,4710,1968,1968,1
9024,"Beaver Dam CDP, Arizona",4,5490,0,1202,0
9025,"Avondale city, Arizona",4,4720,26948,27001,0.99803711
9026,"Avra Valley CDP, Arizona",4,4880,1565,2487,0.629272216
9027,"New York city, New York",36,51000,3371021,3371062,0.999987838
9028,"New York Mills village, New York",36,51011,1865,1865,1
9029,"Nichols village, New York",36,51110,0,233,0
9030,"Niskayuna CDP, New York",36,51275,1998,1998,1
9031,"Nissequogue village, New York",36,51286,177,646,0.273993808
9032,"Niverville CDP, New York",36,51297,725,887,0.817361894
9033,"Norfolk CDP, New York",36,51319,0,610,0
9034,"North Amityville CDP, New York",36,51396,5636,5636,1
9035,"North Bay Shore CDP, New York",36,51495,4627,4627,1
9036,"Northampton CDP, New York",36,51418,207,239,0.866108787
9037,"North Babylon CDP, New York",36,51440,6378,6378,1
9038,"North Ballston Spa CDP, New York",36,51467,563,563,1
9039,"North Bellmore CDP, New York",36,51517,6818,6818,1
9040,"North Bellport CDP, New York",36,51528,3652,3652,1
9041,"North Boston CDP, New York",36,51583,922,1118,0.824686941
9042,"North Collins village, New York",36,51792,0,547,0
9043,"North Creek CDP, New York",36,51847,0,449,0
9044,"Northeast Ithaca CDP, New York",36,51915,1137,1137,1
9045,"North Gates CDP, New York",36,52040,4467,4467,1
9046,"North Hornell village, New York",36,53055,335,335,1
9047,"North Great River CDP, New York",36,52078,1367,1367,1
9048,"North Haven village, New York",36,52188,242,739,0.327469553
9049,"North Hills village, New York",36,53022,2438,2438,1
9050,"North Lindenhurst CDP, New York",36,53198,3898,3898,1
9051,"North Lynbrook CDP, New York",36,53231,231,231,1
9052,"North Massapequa CDP, New York",36,53253,6212,6212,1
9053,"North Merrick CDP, New York",36,53264,4125,4125,1
9054,"North New Hyde Park CDP, New York",36,53275,5016,5016,1
9055,"North Patchogue CDP, New York",36,53319,2432,2432,1
9056,"Marshallberg CDP, North Carolina",37,41600,0,303,0
9057,"Mars Hill town, North Carolina",37,41620,511,619,0.82552504
9058,"Marshville town, North Carolina",37,41640,920,926,0.993520518
9059,"Marvin village, North Carolina",37,41720,1560,1625,0.96
9060,"Matthews town, North Carolina",37,41960,11021,11021,1
9061,"Maury CDP, North Carolina",37,42000,0,243,0
9062,"Mebane city, North Carolina",37,42240,5009,5045,0.992864222
9063,"Northport village, New York",36,53396,3066,3066,1
9064,"Maxton town, North Carolina",37,42020,1055,1117,0.944494181
9065,"Mayodan town, North Carolina",37,42060,1249,1330,0.939097744
9066,"Maysville town, North Carolina",37,42100,0,489,0
9067,"Mesic town, North Carolina",37,42480,0,130,0
9068,"Micro town, North Carolina",37,42620,0,212,0
9069,"Middleburg town, North Carolina",37,42640,0,56,0
9070,"Middlesex town, North Carolina",37,42700,0,417,0
9071,"Midland town, North Carolina",37,42760,0,1283,0
9072,"Midway town, North Carolina",37,42860,1597,1963,0.813550688
9073,"Milton town, North Carolina",37,43300,0,108,0
9074,"Millers Creek CDP, North Carolina",37,43160,327,1002,0.326347305
9075,"Millingport CDP, North Carolina",37,43200,0,256,0
9076,"Mills River town, North Carolina",37,43260,1391,3108,0.447554698
9077,"Mineral Springs town, North Carolina",37,43360,317,1028,0.308365759
9078,"Minnesott Beach town, North Carolina",37,43440,0,340,0
9079,"Mint Hill town, North Carolina",37,43480,9143,9149,0.999344191
9080,"Moncure CDP, North Carolina",37,43880,0,371,0
9081,"Misenheimer village, North Carolina",37,43580,0,133,0
9082,"Mocksville town, North Carolina",37,43720,2146,2218,0.967538323
9083,"Momeyer town, North Carolina",37,43860,0,111,0
9084,"Mooresville town, North Carolina",37,44220,13631,13655,0.998242402
9085,"Monroe city, North Carolina",37,43920,11897,12375,0.961373737
9086,"Montreat town, North Carolina",37,44100,307,666,0.460960961
9087,"Mooresboro town, North Carolina",37,44160,0,153,0
9088,"Moravian Falls CDP, North Carolina",37,44280,478,862,0.554524362
9089,"Morehead City town, North Carolina",37,44320,5357,5383,0.99516998
9090,"Moore Haven city, Florida",12,46550,824,832,0.990384615
9091,"Morriston CDP, Florida",12,46725,0,73,0
9092,"Mount Dora city, Florida",12,47050,6919,6942,0.996686834
9093,"Mount Plymouth CDP, Florida",12,47125,1656,1689,0.980461812
9094,"Mulat CDP, Florida",12,47175,0,121,0
9095,"Mulberry city, Florida",12,47200,1885,1914,0.984848485
9096,"Munson CDP, Florida",12,47300,0,162,0
9097,"Myrtle Grove CDP, Florida",12,47550,6955,6955,1
9098,"Naples city, Florida",12,47625,17723,17753,0.998310145
9099,"Naples Manor CDP, Florida",12,47650,1430,1430,1
9100,"Navarre CDP, Florida",12,48050,12746,12746,1
9101,"Naples Park CDP, Florida",12,47675,3299,3299,1
9102,"Naranja CDP, Florida",12,47700,2923,2923,1
9103,"Nassau Village-Ratliff CDP, Florida",12,47787,1332,2069,0.64378927
9104,"Navarre Beach CDP, Florida",12,48055,1856,1856,1
9105,"Neptune Beach city, Florida",12,48100,3493,3493,1
9106,"Newberry city, Florida",12,48200,0,2068,0
9107,"New Port Richey city, Florida",12,48500,8693,8693,1
9108,"New Port Richey East CDP, Florida",12,48525,5235,5235,1
9109,"New Smyrna Beach city, Florida",12,48625,16167,16847,0.959636731
9110,"Nokomis CDP, Florida",12,48875,1833,1833,1
9111,"Niceville city, Florida",12,48750,5695,5695,1
9112,"Nobleton CDP, Florida",12,48825,0,207,0
9113,"Nocatee CDP, Florida",12,48850,27,1705,0.015835777
9114,"Noma town, Florida",12,48900,0,96,0
9115,"North Bay Village city, Florida",12,49225,4572,4572,1
9116,"North Brooksville CDP, Florida",12,49237,1359,1635,0.831192661
9117,"Northdale CDP, Florida",12,49260,9120,9120,1
9118,"North DeLand CDP, Florida",12,49275,630,630,1
9119,"Sautee Nacoochee CDP, Georgia",13,68880,0,224,0
9120,"Savannah city, Georgia",13,69000,61402,61883,0.992227268
9121,"Scotland city, Georgia",13,69336,0,183,0
9122,"Scottdale CDP, Georgia",13,69392,4768,4768,1
9123,"Shady Dale town, Georgia",13,69784,0,100,0
9124,"Screven city, Georgia",13,69448,0,346,0
9125,"Senoia city, Georgia",13,69672,1096,1289,0.850271528
9126,"Seville CDP, Georgia",13,69728,0,97,0
9127,"Shannon CDP, Georgia",13,69868,0,903,0
9128,"Sharon city, Georgia",13,69896,0,73,0
9129,"Sharpsburg town, Georgia",13,69980,118,143,0.825174825
9130,"Shellman city, Georgia",13,70120,0,498,0
9131,"Shiloh city, Georgia",13,70428,0,202,0
9132,"Siloam town, Georgia",13,70932,0,139,0
9133,"Skidaway Island CDP, Georgia",13,71184,3124,4353,0.717665977
9134,"Snellville city, Georgia",13,71604,7069,7069,1
9135,"Sky Valley city, Georgia",13,71282,0,917,0
9136,"Smithville city, Georgia",13,71464,0,237,0
9137,"Smyrna city, Georgia",13,71492,25745,25745,1
9138,"Social Circle city, Georgia",13,71660,1380,1737,0.79447323
9139,"Soperton city, Georgia",13,71772,1125,1261,0.892149088
9140,"Sparks town, Georgia",13,72556,663,797,0.831869511
9141,"Sparta city, Georgia",13,72584,655,698,0.938395415
9142,"Springfield city, Georgia",13,72780,833,920,0.905434783
9143,"Stapleton city, Georgia",13,73004,0,197,0
9144,"Stillmore city, Georgia",13,73620,0,215,0
9145,"Statenville CDP, Georgia",13,73200,0,388,0
9146,"Statesboro city, Georgia",13,73256,11534,11602,0.994138942
9147,"Statham city, Georgia",13,73312,814,924,0.880952381
9148,"Stockbridge city, Georgia",13,73704,10312,10312,1
9149,"Stone Mountain city, Georgia",13,73816,2587,2587,1
9150,"Sugar Hill city, Georgia",13,74180,6497,6497,1
9151,"Summertown city, Georgia",13,74348,0,67,0
9152,"Summerville city, Georgia",13,74376,2109,2159,0.97684113
9153,"Sumner town, Georgia",13,74432,0,161,0
9154,"Surrency town, Georgia",13,74852,0,113,0
9155,"Sunny Side city, Georgia",13,74572,55,64,0.859375
9156,"Sunnyside CDP, Georgia",13,74628,600,600,1
9157,"Hughestown borough, Pennsylvania",42,36152,652,652,1
9158,"Hughesville borough, Pennsylvania",42,36160,1008,1008,1
9159,"Hulmeville borough, Pennsylvania",42,36192,392,392,1
9160,"Hummelstown borough, Pennsylvania",42,36232,2050,2050,1
9161,"Hummels Wharf CDP, Pennsylvania",42,36240,657,657,1
9162,"Huntingdon borough, Pennsylvania",42,36368,2780,2911,0.954998282
9163,"Hunker borough, Pennsylvania",42,36288,129,134,0.962686567
9164,"Hunterstown CDP, Pennsylvania",42,36352,0,227,0
9165,"Hyde CDP, Pennsylvania",42,36568,615,657,0.936073059
9166,"Hyde Park CDP, Pennsylvania",42,36576,1098,1098,1
9167,"Hyde Park borough, Pennsylvania",42,36592,237,237,1
9168,"Hydetown borough, Pennsylvania",42,36616,0,259,0
9169,"Hyndman borough, Pennsylvania",42,36640,0,413,0
9170,"Idaville CDP, Pennsylvania",42,36712,0,78,0
9171,"Imperial CDP, Pennsylvania",42,36768,1039,1198,0.867278798
9172,"Indiana borough, Pennsylvania",42,36816,4909,4909,1
9173,"Ingram borough, Pennsylvania",42,37000,1623,1623,1
9174,"Indian Lake borough, Pennsylvania",42,36888,0,599,0
9175,"Indian Mountain Lake CDP, Pennsylvania",42,36904,2415,2601,0.928489043
9176,"Industry borough, Pennsylvania",42,36944,326,812,0.401477833
9177,"Inkerman CDP, Pennsylvania",42,37008,899,899,1
9178,"Intercourse CDP, Pennsylvania",42,37016,319,494,0.645748988
9179,"Iola CDP, Pennsylvania",42,37024,0,70,0
9180,"Irvona borough, Pennsylvania",42,37192,0,262,0
9181,"Irwin borough, Pennsylvania",42,37208,2222,2222,1
9182,"Ivyland borough, Pennsylvania",42,37304,338,338,1
9183,"Jackson Center borough, Pennsylvania",42,37496,0,87,0
9184,"Jacobus borough, Pennsylvania",42,37640,634,678,0.935103245
9185,"Jacksonville CDP (Centre County), Pennsylvania",42,37545,0,39,0
9186,"Jacksonville CDP (Indiana County), Pennsylvania",42,37552,0,321,0
9187,"Jacksonwald CDP, Pennsylvania",42,37584,1204,1204,1
9188,"James City CDP, Pennsylvania",42,37656,0,134,0
9189,"Jamestown borough, Pennsylvania",42,37696,0,307,0
9190,"Jamison City CDP, Pennsylvania",42,37728,0,133,0
9191,"Jeannette city, Pennsylvania",42,37784,4937,4937,1
9192,"Jeddo borough, Pennsylvania",42,37792,25,47,0.531914894
9193,"Jefferson borough (Greene County), Pennsylvania",42,37880,0,141,0
9194,"Jefferson borough (York County), Pennsylvania",42,37944,0,306,0
9195,"Jermyn borough, Pennsylvania",42,38096,1017,1017,1
9196,"Jefferson Hills borough, Pennsylvania",42,37955,4230,4537,0.932334142
9197,"Jenkintown borough, Pennsylvania",42,38000,2128,2128,1
9198,"Jennerstown borough, Pennsylvania",42,38048,0,346,0
9199,"Jerome CDP, Pennsylvania",42,38104,0,454,0
9200,"Jersey Shore borough, Pennsylvania",42,38128,1819,1819,1
9201,"Jerseytown CDP, Pennsylvania",42,38152,0,73,0
9202,"Utica borough, Pennsylvania",42,79472,0,109,0
9203,"Valencia borough, Pennsylvania",42,79504,293,293,1
9204,"Valley Green CDP, Pennsylvania",42,79640,1359,1359,1
9205,"Vanderbilt borough, Pennsylvania",42,79768,218,219,0.99543379
9206,"Valley-Hi borough, Pennsylvania",42,79644,0,30,0
9207,"Valley View CDP (Schuylkill County), Pennsylvania",42,79680,0,798,0
9208,"Valley View CDP (York County), Pennsylvania",42,79682,1232,1232,1
9209,"Vandergrift borough, Pennsylvania",42,79776,2723,2723,1
9210,"Vandling borough, Pennsylvania",42,79792,315,340,0.926470588
9211,"Van Voorhis CDP, Pennsylvania",42,79872,0,86,0
9212,"Venango borough, Pennsylvania",42,79912,0,107,0
9213,"Verona borough, Pennsylvania",42,80032,1254,1254,1
9214,"Versailles borough, Pennsylvania",42,80040,866,866,1
9215,"Vinco CDP, Pennsylvania",42,80264,281,614,0.457654723
9216,"Vicksburg CDP, Pennsylvania",42,80144,33,92,0.358695652
9217,"Village Green-Green Ridge CDP, Pennsylvania",42,80218,3105,3105,1
9218,"Frontenac city, Kansas",20,24850,1261,1519,0.830151415
9219,"Fulton city, Kansas",20,24925,0,84,0
9220,"Galatia city, Kansas",20,25050,0,29,0
9221,"Galesburg city, Kansas",20,25150,0,65,0
9222,"Galva city, Kansas",20,25200,0,369,0
9223,"Garden City city, Kansas",20,25325,9643,9656,0.998653687
9224,"Garden Plain city, Kansas",20,25375,0,320,0
9225,"Gardner city, Kansas",20,25425,7245,7300,0.992465753
9226,"Garfield city, Kansas",20,25750,0,102,0
9227,"Gem city, Kansas",20,26050,0,43,0
9228,"Garnett city, Kansas",20,25925,1547,1591,0.972344437
9229,"Gas city, Kansas",20,25975,0,246,0
9230,"Gaylord city, Kansas",20,26000,0,91,0
9231,"Geneseo city, Kansas",20,26075,0,169,0
9232,"Geuda Springs city, Kansas",20,26200,0,88,0
9233,"Girard city, Kansas",20,26300,1163,1228,0.947068404
9234,"Glade city, Kansas",20,26325,0,56,0
9235,"Glasco city, Kansas",20,26375,0,281,0
9236,"Glen Elder city, Kansas",20,26500,0,250,0
9237,"Goodland city, Kansas",20,26875,2364,2395,0.987056367
9238,"Goddard city, Kansas",20,26725,1540,1542,0.998702983
9239,"Goessel city, Kansas",20,26750,0,231,0
9240,"Goff city, Kansas",20,26775,0,62,0
9241,"Great Bend city, Kansas",20,28300,7087,7113,0.996344721
9242,"Ellsworth city, Kansas",20,20500,1075,1154,0.931542461
9243,"Ford city, Kansas",20,23725,0,120,0
9244,"Gorham city, Kansas",20,27000,0,171,0
9245,"Gove City city, Kansas",20,27125,0,56,0
9246,"Grainfield city, Kansas",20,27200,0,162,0
9247,"Grandview Plaza city, Kansas",20,27425,774,788,0.982233503
9248,"Grantville CDP, Kansas",20,28200,63,80,0.7875
9249,"Greensburg city, Kansas",20,28675,0,431,0
9250,"Greeley city, Kansas",20,28350,0,152,0
9251,"Green city, Kansas",20,28425,0,68,0
9252,"Greenleaf city, Kansas",20,28625,0,199,0
9253,"Grenola city, Kansas",20,28800,0,128,0
9254,"Gridley city, Kansas",20,28850,0,174,0
9255,"Grinnell city, Kansas",20,28900,0,156,0
9256,"Gypsum city, Kansas",20,29250,0,187,0
9257,"Silver Grove city, Kentucky",21,70644,469,482,0.973029046
9258,"Simpsonville city, Kentucky",21,70752,0,996,0
9259,"Slaughters city, Kentucky",21,71130,0,100,0
9260,"Smithfield city, Kentucky",21,71364,0,51,0
9261,"Smithland city, Kentucky",21,71382,0,168,0
9262,"Smiths Grove city, Kentucky",21,71454,0,320,0
9263,"Somerset city, Kentucky",21,71688,5450,5491,0.992533236
9264,"Sonora city, Kentucky",21,71724,0,227,0
9265,"South Shore city, Kentucky",21,72210,562,582,0.965635739
9266,"South Carrollton city, Kentucky",21,71814,0,86,0
9267,"Southgate city, Kentucky",21,71976,1866,1866,1
9268,"South Park View city, Kentucky",21,72138,0,5,0
9269,"South Wallins CDP, Kentucky",21,72255,153,410,0.373170732
9270,"South Williamson CDP, Kentucky",21,72264,128,309,0.414239482
9271,"Sparta city, Kentucky",21,72372,0,108,0
9272,"Spottsville CDP, Kentucky",21,72570,0,137,0
9273,"Springfield city, Kentucky",21,72660,0,1251,0
9274,"Spring Mill city, Kentucky",21,72770,110,110,1
9275,"Spring Valley city, Kentucky",21,72790,241,241,1
9276,"Stearns CDP, Kentucky",21,73362,0,733,0
9277,"Stamping Ground city, Kentucky",21,73038,0,295,0
9278,"Stanford city, Kentucky",21,73110,1506,1543,0.976020739
9279,"Stanton city, Kentucky",21,73164,1191,1196,0.995819398
9280,"Strathmoor Manor city, Kentucky",21,74064,141,141,1
9281,"Strathmoor Village city, Kentucky",21,74082,288,288,1
9282,"Sturgis city, Kentucky",21,74316,0,942,0
9283,"Summer Shade CDP, Kentucky",21,74586,0,144,0
9284,"Summersville CDP, Kentucky",21,74604,0,246,0
9285,"Sycamore city, Kentucky",21,75190,90,90,1
9286,"Seco Mines CDP, Texas",48,66536,178,178,1
9287,"Seguin city, Texas",48,66644,8802,9714,0.906114886
9288,"Seminole city, Texas",48,66764,2501,2506,0.998004789
9289,"Cherry Hill CDP, Virginia",51,15176,5587,5587,1
9290,"Clifton Forge town, Virginia",51,17440,1974,2004,0.98502994
9291,"Clinchco town, Virginia",51,17504,0,197,0
9292,"Clinchport town, Virginia",51,17536,0,38,0
9293,"Clintwood town, Virginia",51,17552,0,710,0
9294,"Cloverdale CDP, Virginia",51,17680,1308,1336,0.979041916
9295,"Cluster Springs CDP, Virginia",51,17776,0,387,0
9296,"Coeburn town, Virginia",51,17952,908,962,0.943866944
9297,"Collinsville CDP, Virginia",51,18352,3650,3765,0.969455511
9298,"Colonial Beach town, Virginia",51,18400,2381,2382,0.999580185
9299,"Colonial Heights city, Virginia",51,18448,7831,7831,1
9300,"County Center CDP, Virginia",51,19571,1137,1137,1
9301,"Columbia town, Virginia",51,18624,0,30,0
9302,"Concord CDP, Virginia",51,18880,0,619,0
9303,"Countryside CDP, Virginia",51,19560,3698,3698,1
9304,"Courtland town, Virginia",51,19600,0,520,0
9305,"Covington city, Virginia",51,19728,3067,3067,1
9306,"Craigsville town, Virginia",51,19904,0,450,0
9307,"Crewe town, Virginia",51,20160,1051,1078,0.974953618
9308,"Crimora CDP, Virginia",51,20240,0,920,0
9309,"Crosspointe CDP, Virginia",51,20436,1806,1806,1
9310,"Crozet CDP, Virginia",51,20560,2135,2229,0.957828623
9311,"Dahlgren Center CDP, Virginia",51,21016,192,192,1
9312,"Culpeper town, Virginia",51,20752,6168,6271,0.983575187
9313,"Cumberland CDP, Virginia",51,20768,0,178,0
9314,"Dahlgren CDP, Virginia",51,21008,1081,1184,0.913006757
9315,"Dale City CDP, Virginia",51,21088,20922,20922,1
9316,"Daleville CDP, Virginia",51,21152,837,1154,0.725303293
9317,"Damascus town, Virginia",51,21184,0,523,0
9318,"Dante CDP, Virginia",51,21312,0,367,0
9319,"Danville city, Virginia",51,21344,21450,22438,0.955967555
9320,"Dayton town, Virginia",51,21648,653,662,0.986404834
9321,"Deep Creek CDP, Virginia",51,21776,0,84,0
9322,"Deerfield CDP, Virginia",51,21872,0,78,0
9323,"Dooms CDP, Virginia",51,22976,301,629,0.478537361
9324,"Deltaville CDP, Virginia",51,22064,0,1212,0
9325,"Dendron town, Virginia",51,22160,0,136,0
9326,"Dillwyn town, Virginia",51,22560,0,197,0
9327,"Drakes Branch town, Virginia",51,23376,0,267,0
9328,"Dranesville CDP, Virginia",51,23392,3895,3895,1
9329,"Draper CDP, Virginia",51,23408,0,153,0
9330,"Dryden CDP, Virginia",51,23584,0,518,0
9331,"Dublin town, Virginia",51,23648,941,943,0.997879109
9332,"Duffield town, Virginia",51,23680,0,47,0
9333,"Dulles Town Center CDP, Virginia",51,23732,1797,1797,1
9334,"Dumbarton CDP, Virginia",51,23744,3911,3911,1
9335,"East Highland Park CDP, Virginia",51,24496,6054,6295,0.961715647
9336,"Dumfries town, Virginia",51,23760,1689,1689,1
9337,"Dungannon town, Virginia",51,23952,0,179,0
9338,"Dunn Loring CDP, Virginia",51,23984,3027,3027,1
9339,"East Lexington CDP, Virginia",51,24544,688,688,1
9340,"Eastville town, Virginia",51,24752,0,79,0
9341,"Ebony CDP, Virginia",51,24816,0,85,0
9342,"Edinburg town, Virginia",51,25008,523,543,0.963167587
9343,"Elkton town, Virginia",51,25408,1248,1314,0.949771689
9344,"Elliston CDP, Virginia",51,25488,146,386,0.378238342
9345,"Sedan CDP, Montana",30,67075,0,60,0
9346,"Seeley Lake CDP, Montana",30,67150,0,1262,0
9347,"Shawmut CDP, Montana",30,67225,0,34,0
9348,"Shelby city, Montana",30,67450,1231,1371,0.897884756
9349,"Shepherd CDP, Montana",30,67525,0,203,0
9350,"Silver Gate CDP, Montana",30,68425,0,149,0
9351,"Sheridan town, Montana",30,67600,0,376,0
9352,"Sidney city, Montana",30,67900,2460,2467,0.997162546
9353,"Silesia CDP, Montana",30,68050,0,44,0
9354,"Simms CDP, Montana",30,68575,0,170,0
9355,"Somers CDP, Montana",30,69475,0,609,0
9356,"South Browning CDP, Montana",30,69680,464,526,0.882129278
9357,"South Hills CDP, Montana",30,69725,0,175,0
9358,"Spokane Creek CDP, Montana",30,69900,0,142,0
9359,"Springdale CDP, Montana",30,70150,0,21,0
9360,"Springhill CDP, Montana",30,70375,0,59,0
9361,"Stanford town, Montana",30,70675,0,247,0
9362,"Stryker CDP, Montana",30,71575,0,24,0
9363,"Starr School CDP, Montana",30,70825,0,71,0
9364,"Stevensville town, Montana",30,71200,0,935,0
9365,"Stockett CDP, Montana",30,71350,0,82,0
9366,"Sula CDP, Montana",30,71800,0,22,0
9367,"Sunburst town, Montana",30,72175,0,176,0
9368,"Sun Prairie CDP, Montana",30,72380,0,672,0
9369,"Sun River CDP, Montana",30,72475,0,61,0
9370,"Superior town, Montana",30,72625,0,431,0
9371,"Swan Lake CDP, Montana",30,72850,0,181,0
9372,"Sweet Grass CDP, Montana",30,73075,0,53,0
9373,"Sylvanite CDP, Montana",30,73165,0,119,0
9374,"Beattystown CDP, New Jersey",34,4252,1941,2091,0.928263989
9375,"Andover borough, New Jersey",34,1330,0,263,0
9376,"Annandale CDP, New Jersey",34,1480,687,692,0.992774566
9377,"Beckett CDP, New Jersey",34,4400,1662,1662,1
9378,"Asbury CDP, New Jersey",34,1900,0,108,0
9379,"Ashland CDP, New Jersey",34,1990,3215,3215,1
9380,"Barclay CDP, New Jersey",34,2880,1651,1651,1
9381,"Audubon borough, New Jersey",34,2200,3779,3779,1
9382,"Audubon Park borough, New Jersey",34,2230,499,499,1
9383,"Bay Head borough, New Jersey",34,3520,1023,1023,1
9384,"Beach Haven borough, New Jersey",34,3940,2665,2667,0.999250094
9385,"Beachwood borough, New Jersey",34,4180,3826,3826,1
9386,"Avalon borough, New Jersey",34,2320,5370,5434,0.988222304
9387,"Avenel CDP, New Jersey",34,2350,5379,5379,1
9388,"Belleplain CDP, New Jersey",34,4660,0,230,0
9389,"Barnegat CDP, New Jersey",34,3040,1023,1132,0.903710247
9390,"Barrington borough, New Jersey",34,3250,3158,3158,1
9391,"Beach Haven West CDP, New Jersey",34,4120,4571,4571,1
9392,"Barnegat Light borough, New Jersey",34,3130,1282,1282,1
9393,"Belmar borough, New Jersey",34,4930,3931,3931,1
9394,"Belvidere town, New Jersey",34,4990,1140,1140,1
9395,"Bergenfield borough, New Jersey",34,5170,9200,9200,1
9396,"Berlin borough, New Jersey",34,5440,2949,2949,1
9397,"Beverly city, New Jersey",34,5740,1086,1086,1
9398,"Blackwells Mills CDP, New Jersey",34,6025,241,241,1
9399,"Blackwood CDP, New Jersey",34,6040,1800,1800,1
9400,"Blairstown CDP, New Jersey",34,6130,0,219,0
9401,"Bernardsville borough, New Jersey",34,5590,2143,2871,0.746429815
9402,"Bloomingdale borough, New Jersey",34,6340,2830,3089,0.916154095
9403,"Terry town, Montana",30,73675,0,357,0
9404,"The Silos CDP, Montana",30,73760,0,259,0
9405,"Thompson Falls city, Montana",30,73825,0,681,0
9406,"Blawenburg CDP, New Jersey",34,6190,115,115,1
9407,"Bordentown city, New Jersey",34,6670,2014,2014,1
9408,"Bogota borough, New Jersey",34,6490,2888,2888,1
9409,"Bound Brook borough, New Jersey",34,6790,3816,3816,1
9410,"Bradley Beach borough, New Jersey",34,6970,3180,3180,1
9411,"Bradley Gardens CDP, New Jersey",34,7000,5081,5081,1
9412,"Buena Park city, California",6,8786,24623,24623,1
9413,"Buena Vista CDP, California",6,8828,0,218,0
9414,"Big Bend CDP, California",6,6475,0,90,0
9415,"Bombay Beach CDP, California",6,7372,0,449,0
9416,"Bridgeport CDP, California",6,8240,0,357,0
9417,"Burlingame city, California",6,9066,13027,13027,1
9418,"Burnt Ranch CDP, California",6,9150,0,157,0
9419,"Burbank city, California",6,8954,44309,44309,1
9420,"Burbank CDP, California",6,8968,1982,1982,1
9421,"Burney CDP, California",6,9122,1110,1446,0.767634855
9422,"Butte Creek Canyon CDP, California",6,9310,0,522,0
9423,"Butte Meadows CDP, California",6,9318,0,242,0
9424,"Butte Valley CDP, California",6,9324,0,371,0
9425,"Buttonwillow CDP, California",6,9332,0,406,0
9426,"Byron CDP, California",6,9346,262,415,0.631325301
9427,"Bystrom CDP, California",6,9353,1156,1156,1
9428,"Cabazon CDP, California",6,9360,0,932,0
