,NAME,state,place,H002002,H002001,% Urban
133,"Irwin CDP, Missouri",29,35486,0,24,0
134,"Jacksonville village, Missouri",29,36224,0,65,0
135,"Jameson town, Missouri",29,36314,0,63,0
136,"Jamesport city, Missouri",29,36332,0,308,0
137,"Jamestown town, Missouri",29,36368,0,187,0
138,"Jasper city, Missouri",29,36512,0,447,0
139,"Jefferson City city, Missouri",29,37000,18726,18852,0.993316359
140,"Josephville village, Missouri",29,37700,0,140,0
141,"Jennings city, Missouri",29,37178,6937,6937,1
142,"Jerico Springs village, Missouri",29,37214,0,124,0
143,"Joplin city, Missouri",29,37592,23212,23322,0.995283423
144,"Junction City village, Missouri",29,37736,162,179,0.905027933
145,"Kahoka city, Missouri",29,37790,0,1001,0
146,"Kansas City city, Missouri",29,38000,219009,221860,0.987149554
147,"Kearney city, Missouri",29,38072,2787,3120,0.893269231
148,"Kelso village, Missouri",29,38216,241,243,0.991769547
149,"Three Forks city, Montana",30,73975,0,850,0
150,"Toston CDP, Montana",30,74500,0,61,0
151,"Townsend city, Montana",30,74575,0,888,0
152,"Trego CDP, Montana",30,74725,0,329,0
153,"Trout Creek CDP, Montana",30,74950,0,168,0
154,"Troy city, Montana",30,75025,0,490,0
155,"Turah CDP, Montana",30,75175,32,121,0.26446281
156,"Turner CDP, Montana",30,75250,0,47,0
157,"Turtle Lake CDP, Montana",30,75287,0,65,0
158,"Vaughn CDP, Montana",30,76675,0,304,0
159,"Twin Bridges town, Montana",30,75475,0,206,0
160,"Ulm CDP, Montana",30,75775,0,281,0
161,"Valier town, Montana",30,76225,0,284,0
162,"Victor CDP, Montana",30,76900,0,357,0
163,"Virginia City town, Montana",30,77125,0,171,0
164,"Walkerville town, Montana",30,77650,298,344,0.86627907
165,"Weeksville CDP, Montana",30,78775,0,57,0
166,"Westby town, Montana",30,78925,0,114,0
167,"West Glacier CDP, Montana",30,79075,0,314,0
168,"West Yellowstone town, Montana",30,79525,0,969,0
169,"West Glendive CDP, Montana",30,79086,660,851,0.775558167
170,"West Havre CDP, Montana",30,79098,11,110,0.1
171,"West Kootenai CDP, Montana",30,79105,0,210,0
172,"Wheatland CDP, Montana",30,79695,0,224,0
173,"Whitefish city, Montana",30,79825,3829,4086,0.937102301
174,"Whitehall town, Montana",30,79900,0,538,0
175,"White Haven CDP, Montana",30,79935,0,283,0
176,"White Sulphur Springs city, Montana",30,80050,0,563,0
177,"Whitewater CDP, Montana",30,80200,0,38,0
178,"Wibaux town, Montana",30,80350,0,308,0
