GEO_ID,NAME,P001001
id,Geographic Area Name,Total
1600000US0458150,"Queen Creek town, Arizona",26361
1600000US0458620,"Rainbow City CDP, Arizona",968
1600000US0458870,"Rancho Mesa Verde CDP, Arizona",625
1600000US0459550,"Red Mesa CDP, Arizona",480
1600000US0459760,"Red Rock CDP (Apache County), Arizona",169
1600000US0459770,"Red Rock CDP (Pinal County), Arizona",2169
1600000US0459900,"Rillito CDP, Arizona",97
1600000US0460120,"Rincon Valley CDP, Arizona",5139
1600000US0460180,"Rio Rico CDP, Arizona",18962
1600000US0461300,"Roosevelt CDP, Arizona",28
1600000US0460250,"Rio Verde CDP, Arizona",1811
1600000US0460770,"Rock House CDP, Arizona",50
1600000US0460880,"Rock Point CDP, Arizona",642
1600000US0461370,"Rough Rock CDP, Arizona",414
1600000US0461440,"Round Rock CDP, Arizona",789
1600000US0461448,"Round Valley CDP, Arizona",487
1600000US0461690,"Rye CDP, Arizona",77
1600000US0461715,"Sacate Village CDP, Arizona",169
1600000US0461720,"Sacaton CDP, Arizona",2672
1600000US0461800,"Sacaton Flats Village CDP, Arizona",541
1600000US0462140,"Sahuarita town, Arizona",25259
1600000US0461940,"Saddlebrooke CDP, Arizona",9614
1600000US0462350,"St. Johns city, Arizona",3480
1600000US0462000,"Safford city, Arizona",9566
1600000US0462280,"St. David CDP, Arizona",1699
1600000US0462362,"St. Johns CDP, Arizona",476
1600000US0462420,"St. Michaels CDP, Arizona",1443
1600000US0462700,"Salome CDP, Arizona",1530
1600000US0462910,"San Carlos CDP, Arizona",4038
1600000US0463050,"Sanders CDP, Arizona",630
1600000US0463260,"San Jose CDP, Arizona",506
1600000US0610074,"Cambria CDP, California",6032
1600000US0610042,"Camanche North Shore CDP, California",979
1600000US0610044,"Camanche Village CDP, California",847
1600000US0610046,"Camarillo city, California",65201
1600000US0610088,"Cambrian Park CDP, California",3282
1600000US0610256,"Cameron Park CDP, California",18228
1600000US0610270,"Camino CDP, California",1750
1600000US0610301,"Camino Tassajara CDP, California",2197
1600000US0610345,"Campbell city, California",39349
1600000US0610494,"Camp Nelson CDP, California",97
1600000US0610508,"Campo CDP, California",2684
1600000US0610559,"Camp Pendleton North CDP, California",5200
1600000US0610816,"Cantua Creek CDP, California",466
1600000US0610561,"Camp Pendleton South CDP, California",10616
1600000US0610676,"Camptonville CDP, California",158
1600000US0610732,"Canby CDP, California",315
1600000US0610914,"Canyondam CDP, California",31
1600000US0610928,"Canyon Lake city, California",10561
1600000US0611040,"Capitola city, California",9918
1600000US0611166,"Caribou CDP, California",0
1600000US0611194,"Carlsbad city, California",105328
1600000US0611250,"Carmel-by-the-Sea city, California",3722
1600000US0611324,"Carmel Valley Village CDP, California",4407
1600000US0611446,"Carpinteria city, California",13040
1600000US0611376,"Carmet CDP, California",47
1600000US0611390,"Carmichael CDP, California",61762
1600000US0611418,"Carnelian Bay CDP, California",524
1600000US0611481,"Carrick CDP, California",131
1600000US0611530,"Carson city, California",91714
1600000US0611600,"Cartago CDP, California",92
1600000US0611614,"Caruthers CDP, California",2497
1600000US3671267,"Stewart Manor village, New York",1896
1600000US3671322,"Stillwater village, New York",1738
1600000US3671597,"Stone Ridge CDP, New York",1173
1600000US3671608,"Stony Brook CDP, New York",13740
1600000US3771220,"Washington city, North Carolina",9744
1600000US3771240,"Washington Park town, North Carolina",451
1600000US3771320,"Watha town, North Carolina",190
1600000US3771440,"Waves CDP, North Carolina",134
1600000US3771460,"Waxhaw town, North Carolina",9859
1600000US3771500,"Waynesville town, North Carolina",9869
1600000US3771760,"Welcome CDP, North Carolina",4162
