,PCT023003,NAME,state,place
311,28937,"Valrico CDP, Florida",12,73700
312,4436,"Vamo CDP, Florida",12,73725
313,20185,"Venice city, Florida",12,73900
314,6735,"Venice Gardens CDP, Florida",12,73950
315,1704,"Verona Walk CDP, Florida",12,74235
316,541,"Vernon city, Florida",12,74125
317,13316,"Vero Beach city, Florida",12,74150
318,20538,"Vero Beach South CDP, Florida",12,74200
319,9458,"Viera East CDP, Florida",12,74368
320,5657,"Viera West CDP, Florida",12,74370
321,2573,"Villano Beach CDP, Florida",12,74498
322,10195,"Villas CDP, Florida",12,74512
323,3249,"Vineyards CDP, Florida",12,74562
324,2153,"Virginia Gardens village, Florida",12,74575
325,555,"Wabasso CDP, Florida",12,74625
326,1830,"Wabasso Beach CDP, Florida",12,74635
327,958,"Ashton city, Idaho",16,03610
328,17,"Banks CDP, Idaho",16,04600
329,357,"Basalt city, Idaho",16,05230
330,1839,"Bellevue city, Idaho",16,06220
331,183,"Bloomington city, Idaho",16,08560
332,186,"Bennington CDP, Idaho",16,06670
333,9893,"Blackfoot city, Idaho",16,07840
334,230,"Bliss city, Idaho",16,08470
335,2397,"Bonners Ferry city, Idaho",16,09370
336,3376,"Buhl city, Idaho",16,10810
337,7984,"Burley city, Idaho",16,11260
338,198,"Castleford city, Idaho",16,13240
339,64,"Butte City city, Idaho",16,11710
340,537,"Carey city, Idaho",16,12790
341,906,"Cascade city, Idaho",16,13150
342,1012,"Challis city, Idaho",16,13780
343,12596,"Chubbuck city, Idaho",16,14680
344,512,"Clark Fork city, Idaho",16,14950
345,362,"Bancroft city, Idaho",16,04420
346,251,"Bovill city, Idaho",16,09730
347,35856,"Caldwell city, Idaho",16,12250
348,322,"Cambridge city, Idaho",16,12520
349,7,"Clayton city, Idaho",16,15490
350,255,"Blanchard CDP, Idaho",16,08290
351,182991,"Boise City city, Idaho",16,08830
352,874,"Cottonwood city, Idaho",16,18640
353,43,"Conkling Park CDP, Idaho",16,17830
354,253,"Clifton city, Idaho",16,16120
355,41417,"Coeur d'Alene city, Idaho",16,16750
356,810,"Council city, Idaho",16,18820
357,477,"Craigmont city, Idaho",16,19270
358,157,"Crouch city, Idaho",16,19720
359,317,"Culdesac city, Idaho",16,19900
360,2261,"Dalton Gardens city, Idaho",16,20350
361,431,"Dayton city, Idaho",16,20710
362,292,"Declo city, Idaho",16,20980
363,14,"De Smet CDP, Idaho",16,21520
364,299,"Dietrich city, Idaho",16,21790
365,144,"Donnelly city, Idaho",16,22330
366,538,"Dover city, Idaho",16,22510
367,613,"Downey city, Idaho",16,22600
368,1211,"Driggs city, Idaho",16,22690
369,15,"Drummond city, Idaho",16,22780
370,454,"Dubois city, Idaho",16,22960
371,206,"East Hope city, Idaho",16,23680
372,307,"Eden city, Idaho",16,24310
