,H002001,H002002,NAME,state,place
15782,186,0,"Hermon village, New York",36,34165
15783,1378,1378,"Herricks CDP, New York",36,34198
15784,646,592,"Claremont city, North Carolina",37,12720
15785,898,0,"Bennett town, Colorado",08,06090
15786,433,0,"Beulah Valley CDP, Colorado",08,06602
15787,4162,4162,"Berkley CDP, Colorado",08,06172
15788,2084,1946,"Berthoud town, Colorado",08,06255
15789,84,0,"Bethune town, Colorado",08,06530
15790,4895,0,"Black Forest CDP, Colorado",08,06970
15791,476,0,"Everglades city, Florida",12,21425
15792,4930,4930,"Fairview Shores CDP, Florida",12,21750
15793,415,0,"Fanning Springs city, Florida",12,21850
15794,2037,2037,"Feather Sound CDP, Florida",12,21945
15795,1467,1366,"Fellsmere city, Florida",12,22100
15796,7064,6268,"Fernandina Beach city, Florida",12,22175
15797,195,0,"Ferndale CDP, Florida",12,22225
15798,3690,3690,"Fern Park CDP, Florida",12,22250
15799,14104,14104,"Ferry Pass CDP, Florida",12,22275
15800,460,436,"Five Points CDP, Florida",12,22475
15801,61,0,"Fidelis CDP, Florida",12,22325
15802,226,226,"Fisher Island CDP, Florida",12,22375
15803,4576,4389,"Fish Hawk CDP, Florida",12,22387
15804,3439,3402,"Flagler Beach city, Florida",12,22550
15805,1307,0,"Flagler Estates CDP, Florida",12,22560
15806,10440,10440,"Fleming Island CDP, Florida",12,22660
15807,2912,1513,"Floral City CDP, Florida",12,22775
15808,3792,3792,"Florida City city, Florida",12,22975
15809,9509,9509,"Florida Ridge CDP, Florida",12,23050
15810,133,117,"Floridatown CDP, Florida",12,23125
15811,94,0,"Fort Green Springs CDP, Florida",12,23875
15812,5603,5603,"Forest City CDP, Florida",12,23375
15813,877,27,"Fort Denaud CDP, Florida",12,23730
15814,37,0,"Fort Green CDP, Florida",12,23850
15815,93159,93159,"Fort Lauderdale city, Florida",12,24000
15816,2453,2412,"Fort Meade city, Florida",12,24100
15817,35138,34073,"Fort Myers city, Florida",12,24125
15818,9420,9420,"Fort Myers Beach town, Florida",12,24150
15819,2588,2588,"Fort Myers Shores CDP, Florida",12,24175
15820,21357,21238,"Fort Pierce city, Florida",12,24300
15821,2881,2866,"Fort Pierce North CDP, Florida",12,24337
15822,23181,23181,"Fountainebleau CDP, Florida",12,24562
15823,2032,2003,"Fort Pierce South CDP, Florida",12,24387
15824,9592,9592,"Fort Walton Beach city, Florida",12,24475
15825,260,0,"Fort White town, Florida",12,24500
15826,26531,16466,"Four Corners CDP, Florida",12,24581
15827,353,353,"Franklin Park CDP, Florida",12,24710
15828,919,0,"Freeport city, Florida",12,24825
15829,1570,1397,"Frostproof city, Florida",12,24900
15830,10333,10333,"Fruit Cove CDP, Florida",12,24925
15831,1662,1430,"Fruitland Park city, Florida",12,24975
15832,57576,57005,"Gainesville city, Florida",12,25175
15833,6076,6076,"Fruitville CDP, Florida",12,25000
15834,3464,3433,"Fuller Heights CDP, Florida",12,25025
15835,2981,2702,"Fussels Corner CDP, Florida",12,25125
15836,176,0,"Garcon Point CDP, Florida",12,25392
15837,381,375,"Garden Grove CDP, Florida",12,25475
15838,297,0,"Gardner CDP, Florida",12,25550
15839,4108,4108,"Gateway CDP, Florida",12,25655
15840,1110,0,"Geneva CDP, Florida",12,25750
15841,5622,5538,"Gibsonton CDP, Florida",12,25900
15842,5457,5457,"Gifford CDP, Florida",12,25925
