,H011001,H011004,NAME,state,place
28574,18683,8015,"Shelbyville city, Indiana",18,69318
28575,830,232,"Shirley town, Indiana",18,69516
28576,237,31,"Shepardsville CDP, Indiana",18,69336
28577,2657,758,"Sheridan town, Indiana",18,69354
28578,658,262,"Shipshewana town, Indiana",18,69480
28579,756,206,"Shoals town, Indiana",18,69552
28580,2708,118,"Shorewood Forest CDP, Indiana",18,69642
28581,83,11,"Sidney town, Indiana",18,69678
28582,899,204,"Silver Lake town, Indiana",18,69768
28583,4678,1096,"Simonton Lake CDP, Indiana",18,69840
28584,156,32,"Sims CDP, Indiana",18,69894
28585,3184,591,"Smithville-Sanders CDP, Indiana",18,70330
28586,401,51,"Somerset CDP, Indiana",18,70524
28587,1712,449,"Southport city, Indiana",18,71486
28588,293,46,"Somerville town, Indiana",18,70542
28589,98476,39179,"South Bend city, Indiana",18,71000
28590,5278,1120,"South Haven CDP, Indiana",18,71288
28591,1743,417,"South Whitley town, Indiana",18,71612
28592,11812,5793,"Speedway town, Indiana",18,71828
28593,467,62,"Big Stone City city, South Dakota",46,05540
28594,172,27,"Bath CDP, South Dakota",46,03900
28595,49,0,"Bath Corner CDP, South Dakota",46,03960
28596,2005,447,"Beresford city, South Dakota",46,04980
28597,333,54,"Bison town, South Dakota",46,05620
28598,2891,381,"Blackhawk CDP, South Dakota",46,05780
28599,462,34,"Blucksberg Mountain CDP, South Dakota",46,06120
28600,242,43,"Barry city, Texas",48,05708
28601,349,57,"Barstow city, Texas",48,05720
28602,1550,468,"Bartlett city, Texas",48,05732
28603,2881,613,"Barton Creek CDP, Texas",48,05750
28604,17354,7868,"Bay City city, Texas",48,05984
28605,275,49,"Bonesteel city, South Dakota",46,06220
28606,502,123,"Bowdle city, South Dakota",46,06540
28607,7207,3750,"Box Elder city, South Dakota",46,06620
28608,6691,2808,"Bastrop city, Texas",48,05864
28609,1068,192,"Batesville CDP, Texas",48,05924
28610,1537,278,"Bayou Vista city, Texas",48,06060
28611,325,33,"Bayside town, Texas",48,06104
28612,71201,25917,"Baytown city, Texas",48,06128
28613,383,43,"Bayview town, Texas",48,06140
28614,2198,346,"Beach City city, Texas",48,06200
28615,382,16,"Bear Creek village, Texas",48,06242
28616,3921,1512,"Bee Cave city, Texas",48,07156
28617,641,202,"Beasley city, Texas",48,06272
28618,847,311,"Beckville city, Texas",48,07108
28619,443,90,"Bedias city, Texas",48,07144
28620,12596,5547,"Beeville city, Texas",48,07192
28621,362,76,"Bellevue city, Texas",48,07396
28622,247,69,"Benjamin city, Texas",48,07636
28623,1392,353,"Bells town, Texas",48,07420
28624,3966,1562,"Bellville city, Texas",48,07432
28625,16289,6729,"Belton city, Texas",48,07492
28626,34,0,"Benjamin Perez CDP, Texas",48,07642
28627,975,254,"Berryville town, Texas",48,07852
28628,1294,407,"Bertram city, Texas",48,07864
28629,695,113,"Big Wells city, Texas",48,08260
28630,2909,668,"Big Lake city, Texas",48,08212
28631,1343,632,"Big Sandy town, Texas",48,08224
28632,21202,8134,"Big Spring city, Texas",48,08236
28633,3134,724,"Bishop city, Texas",48,08392
28634,193,7,"Bishop Hills town, Texas",48,08398
28635,504,162,"Bixby CDP, Texas",48,08410
28636,927,279,"Blessing CDP, Texas",48,08668
28637,311,105,"Blackwell city, Texas",48,08488
28638,1691,546,"Blanco city, Texas",48,08536
28639,390,60,"Blanket town, Texas",48,08596
28640,404,135,"Bloomburg town, Texas",48,08752
28641,821,249,"Blooming Grove town, Texas",48,08788
28642,2459,765,"Bloomington CDP, Texas",48,08800
28643,1494,478,"Blossom city, Texas",48,08812
28644,10074,4112,"Boerne city, Texas",48,09160
28645,822,272,"Blue Ridge city, Texas",48,08872
28646,356,44,"Bluetown CDP, Texas",48,08908
28647,444,143,"Blum town, Texas",48,09004
28648,1153,353,"Bogata city, Texas",48,09172
28649,2413,518,"Bolivar Peninsula CDP, Texas",48,09250
28650,37,0,"Bonanza Hills CDP, Texas",48,09310
28651,7196,3257,"Bonham city, Texas",48,09328
28652,362306,143131,"Arlington city, Texas",48,04000
28653,10613,2920,"Azle city, Texas",48,05168
28654,46648,17766,"Bedford city, Texas",48,07132
28655,21124,5709,"Benbrook city, Texas",48,07552
28656,2394,512,"Blue Mound city, Texas",48,08860
28657,2595,775,"Aubrey city, Texas",48,04600
28658,1469,143,"Bartonville town, Texas",48,05768
28659,289,75,"Bailey city, Texas",48,05264
28660,113163,46946,"Beaumont city, Texas",48,07000
28661,203,41,"Megargel town, Texas",48,47460
28662,1433,389,"Menard city, Texas",48,47628
28663,873,207,"Baroda village, Michigan",26,05500
28664,355,98,"Barryton village, Michigan",26,05580
28665,294,22,"Barton Hills village, Michigan",26,05660
28666,50948,18767,"Battle Creek city, Michigan",26,05920
28667,34417,10029,"Bay City city, Michigan",26,06020
28668,477,83,"Bay Port CDP, Michigan",26,06120
28669,754,90,"Bay Shore CDP, Michigan",26,06190
28670,133,63,"Bay View CDP, Michigan",26,06260
28671,357,24,"Beal City CDP, Michigan",26,06360
28672,327,30,"Bear Lake CDP, Michigan",26,06430
28673,286,84,"Bear Lake village, Michigan",26,06460
28674,5637,1748,"Belding city, Michigan",26,06900
28675,1071,380,"Beaverton city, Michigan",26,06660
28676,10206,4358,"Beecher CDP, Michigan",26,06820
28677,2992,850,"Beechwood CDP, Michigan",26,06880
28678,1044,325,"Bellaire village, Michigan",26,06980
28679,3973,1109,"Belleville city, Michigan",26,07020
28680,1282,305,"Bellevue village, Michigan",26,07060
28681,208,47,"Bendon CDP, Michigan",26,07220
28682,9813,6555,"Benton Harbor city, Michigan",26,07520
28683,3927,1991,"Benton Heights CDP, Michigan",26,07540
28684,1877,456,"Bessemer city, Michigan",26,07960
28685,497,123,"Benzonia village, Michigan",26,07580
28686,14949,2544,"Berkley city, Michigan",26,07660
28687,1779,717,"Berrien Springs village, Michigan",26,07860
28688,292,107,"Beulah village, Michigan",26,08100
28689,10169,1012,"Beverly Hills village, Michigan",26,08160
28690,319,45,"Big Bay CDP, Michigan",26,08180
28691,7379,4707,"Big Rapids city, Michigan",26,08300
28692,1111,94,"Bingham Farms village, Michigan",26,08460
28693,1555,672,"Birch Run village, Michigan",26,08540
28694,3628,332,"Bloomfield Hills city, Michigan",26,09180
28695,20102,4567,"Birmingham city, Michigan",26,08640
28696,167,37,"Boon CDP, Michigan",26,09560
28697,3340,701,"Blissfield village, Michigan",26,09000
28698,454,115,"Bloomingdale village, Michigan",26,09220
28699,3718,1200,"Boyne City city, Michigan",26,09820
28700,294,69,"Boyne Falls village, Michigan",26,09840
28701,1328,437,"Breckenridge village, Michigan",26,10160
28702,199,44,"Breedsville village, Michigan",26,10180
28703,410,89,"Brethren CDP, Michigan",26,10300
28704,586,116,"Britton village, Michigan",26,10760
28705,6813,1829,"Bridgeport CDP, Michigan",26,10440
28706,2193,542,"Bridgman city, Michigan",26,10580
28707,7275,2482,"Brighton city, Michigan",26,10620
28708,2333,816,"Bronson city, Michigan",26,10860
28709,1206,488,"Brooklyn village, Michigan",26,11000
28710,1305,418,"Brown City city, Michigan",26,11180
28711,2108,533,"Brownlee Park CDP, Michigan",26,11200
28712,218,44,"Brutus CDP, Michigan",26,11380
28713,1977,246,"Eyota city, Minnesota",27,20114
28714,1177,236,"Fairfax city, Minnesota",27,20222
28715,358,44,"Fairhaven CDP, Minnesota",27,20276
28716,10432,2796,"Fairmont city, Minnesota",27,20330
28717,4859,1969,"Falcon Heights city, Minnesota",27,20420
28718,20773,5995,"Faribault city, Minnesota",27,20546
28719,20871,2307,"Farmington city, Minnesota",27,20618
28720,12485,3676,"Fergus Falls city, Minnesota",27,20906
28721,51,10,"Farwell city, Minnesota",27,20690
28722,110,27,"Federal Dam city, Minnesota",27,20798
28723,177,15,"Felton city, Minnesota",27,20834
28724,794,178,"Fertile city, Minnesota",27,20978
28725,387,16,"Fifty Lakes city, Minnesota",27,21032
28726,195,20,"Finland CDP, Minnesota",27,21104
28727,315,78,"Finlayson city, Minnesota",27,21122
28728,435,139,"Fisher city, Minnesota",27,21158
28729,255,27,"Waukau CDP, Wisconsin",55,84200
28730,67807,24537,"Waukesha city, Wisconsin",55,84250
28731,68,11,"Waumandee CDP, Wisconsin",55,84300
28732,12006,2209,"Waunakee village, Wisconsin",55,84350
28733,5681,2458,"Waupaca city, Wisconsin",55,84375
28734,8194,2094,"Waupun city, Wisconsin",55,84425
28735,45525,12651,"Wauwatosa city, Wisconsin",55,84675
28736,38006,14264,"Wausau city, Wisconsin",55,84475
28737,575,264,"Wausaukee village, Wisconsin",55,84525
28738,2087,961,"Wautoma city, Wisconsin",55,84625
28739,711,191,"Wauzeka village, Wisconsin",55,84725
28740,653,263,"Webster village, Wisconsin",55,85025
28741,59582,22677,"West Allis city, Wisconsin",55,85300
28742,1414,724,"West Baraboo village, Wisconsin",55,85325
28743,30548,9117,"West Bend city, Wisconsin",55,85350
28744,190,35,"Westboro CDP, Wisconsin",55,85425
28745,4427,1663,"Naguabo zona urbana, Puerto Rico",72,55828
28746,1650,757,"Naranjito zona urbana, Puerto Rico",72,56129
28747,2058,475,"Olimpo comunidad, Puerto Rico",72,57075
28748,697,461,"Orocovis zona urbana, Puerto Rico",72,57290
28749,966,204,"Palmarejo comunidad (Lajas Municipio), Puerto Rico",72,58150
28750,2134,516,"Westby city, Wisconsin",55,85475
28751,1254,479,"Westfield village, Wisconsin",55,85575
28752,10119,1920,"P?jaros comunidad, Puerto Rico",72,57806
28753,742,175,"Pajonal comunidad, Puerto Rico",72,57862
28754,1090,223,"Palmarejo comunidad (Coamo Municipio), Puerto Rico",72,57978
28755,2221,837,"Palmas comunidad, Puerto Rico",72,58516
28756,1936,415,"Palomas comunidad (Yauco Municipio), Puerto Rico",72,59053
28757,2055,203,"Palmas del Mar comunidad, Puerto Rico",72,58602
28758,1032,240,"Palmer comunidad, Puerto Rico",72,58666
28759,1652,462,"Palomas comunidad (Comer?o Municipio), Puerto Rico",72,58967
28760,1008,308,"Palo Seco comunidad, Puerto Rico",72,59139
28761,1568,457,"Parcelas de Navarro comunidad, Puerto Rico",72,59386
28762,941,234,"Parcelas Pe?uelas comunidad, Puerto Rico",72,59440
28763,1290,292,"Parcelas La Milagrosa comunidad, Puerto Rico",72,59420
28764,571,188,"Parcelas Mandry comunidad, Puerto Rico",72,59422
28765,1579,496,"Parcelas Nuevas comunidad, Puerto Rico",72,59425
28766,672,181,"Parcelas Viejas Borinquen comunidad, Puerto Rico",72,59450
28767,1514,478,"Pastos comunidad, Puerto Rico",72,60257
28768,2901,455,"Piedra Aguza comunidad, Puerto Rico",72,61545
28769,4332,1455,"Patillas zona urbana, Puerto Rico",72,60472
28770,991,303,"Pe?a Pobre comunidad, Puerto Rico",72,60945
28771,5857,1584,"Pe?uelas zona urbana, Puerto Rico",72,61074
28772,1937,406,"Piedra Gorda comunidad, Puerto Rico",72,61590
28773,1690,398,"Playa Fortuna comunidad, Puerto Rico",72,63310
28774,1695,352,"Pole Ojea comunidad, Puerto Rico",72,63697
28775,553,173,"Playita comunidad (Salinas Municipio), Puerto Rico",72,63503
28776,1558,360,"Playita comunidad (Yabucoa Municipio), Puerto Rico",72,63525
28777,1731,384,"Playita Cortada comunidad, Puerto Rico",72,63568
28778,131190,43962,"Ponce zona urbana, Puerto Rico",72,63820
28779,3076,843,"Potala Pastillo comunidad, Puerto Rico",72,64127
28780,4948,1083,"Punta Santiago comunidad, Puerto Rico",72,66492
28781,572,160,"Pueblito del Carmen comunidad, Puerto Rico",72,64400
28782,1310,264,"Pueblito del R?o comunidad, Puerto Rico",72,64500
28783,5983,1095,"Puerto Real comunidad, Puerto Rico",72,65589
28784,995,161,"Quebrada comunidad, Puerto Rico",72,66660
28785,1238,195,"Quebrada del Agua comunidad, Puerto Rico",72,67200
28786,1351,326,"Rafael Hern?ndez comunidad, Puerto Rico",72,68599
28787,132,21,"Thurston village, Nebraska",31,48900
28788,947,196,"Tilden city, Nebraska",31,48935
28789,106,15,"Tobias village, Nebraska",31,49005
28790,534,169,"Trenton village, Nebraska",31,49145
28791,171,28,"Ulysses village, Nebraska",31,49460
28792,205,35,"Trumbull village, Nebraska",31,49285
28793,157,52,"Tryon CDP, Nebraska",31,49320
28794,230,35,"Uehling village, Nebraska",31,49425
28795,311,33,"Unadilla village, Nebraska",31,49530
28796,233,50,"Union village, Nebraska",31,49635
28797,143,12,"Upland village, Nebraska",31,49880
28798,824,243,"Utica village, Nebraska",31,49915
28799,2683,936,"Valentine city, Nebraska",31,49950
28800,1819,648,"Valley city, Nebraska",31,50020
28801,30,0,"Verdel village, Nebraska",31,50335
28802,570,90,"Valparaiso village, Nebraska",31,50125
28803,164,34,"Venango village, Nebraska",31,50230
28804,75,8,"Venice CDP, Nebraska",31,50265
28805,112,6,"Caballo CDP, New Mexico",35,10050
28806,256,21,"Canjilon CDP, New Mexico",35,10610
28807,1801,1783,"Cannon AFB CDP, New Mexico",35,10750
28808,1489,303,"Capitan village, New Mexico",35,11800
28809,327,57,"Ca?on CDP, New Mexico",35,10770
28810,112,2,"Ca?ones CDP, New Mexico",35,11310
28811,118,8,"Canova CDP, New Mexico",35,11520
28812,286,53,"Gallina CDP, New Mexico",35,12008
28813,66,9,"Capulin CDP, New Mexico",35,12010
28814,25605,7493,"Carlsbad city, New Mexico",35,12150
28815,1232,175,"Carnuel CDP, New Mexico",35,12430
28816,880,189,"Carrizozo town, New Mexico",35,12500
28817,272,31,"Casa Colorada CDP, New Mexico",35,12786
28818,104,57,"Causey village, New Mexico",35,12850
28819,938,93,"Cedar Crest CDP, New Mexico",35,13200
28820,1022,267,"Chama village, New Mexico",35,13970
28821,747,65,"Cedar Grove CDP, New Mexico",35,13270
28822,847,57,"Cedar Hill CDP, New Mexico",35,13340
28823,430,20,"Cedro CDP, New Mexico",35,13450
28824,919,185,"Chamberino CDP, New Mexico",35,14040
28825,310,33,"Chamisal CDP, New Mexico",35,14110
28826,870,163,"Chamita CDP, New Mexico",35,14180
28827,101,24,"Chamizal CDP, New Mexico",35,14200
28828,14618,3113,"Chaparral CDP, New Mexico",35,14250
28829,107,3,"Chical CDP, New Mexico",35,14670
28830,654,100,"Chili CDP, New Mexico",35,14810
28831,137,17,"Chilili CDP, New Mexico",35,14880
28832,3177,493,"Chimayo CDP, New Mexico",35,14950
28833,293,41,"Cliff CDP, New Mexico",35,15860
28834,362,32,"Chupadero CDP, New Mexico",35,15300
28835,1021,261,"Cimarron village, New Mexico",35,15440
28836,2318,747,"Clayton town, New Mexico",35,15720
28837,674,198,"Cloudcroft village, New Mexico",35,16280
28838,37178,14393,"Clovis city, New Mexico",35,16420
28839,39,9,"Cobre CDP, New Mexico",35,16490
28840,528,26,"Cochiti CDP, New Mexico",35,16560
28841,569,102,"Cochiti Lake CDP, New Mexico",35,16585
28842,172,40,"Corona village, New Mexico",35,17680
28843,1664,388,"Columbus village, New Mexico",35,17050
28844,186,27,"Conchas Dam CDP, New Mexico",35,17260
28845,414,43,"Cordova CDP, New Mexico",35,17610
28846,8325,907,"Corrales village, New Mexico",35,17960
28847,205,21,"Costilla CDP, New Mexico",35,18240
28848,388,75,"Cotton City CDP, New Mexico",35,18310
28849,128,5,"Coyote CDP, New Mexico",35,18660
28850,469,156,"Cuartelez CDP, New Mexico",35,19110
28851,1128,312,"Church Rock CDP, New Mexico",35,15370
28852,31,9,"City of the Sun CDP, New Mexico",35,15560
28853,2113,1047,"Crownpoint CDP, New Mexico",35,18940
28854,72,24,"Cruzville CDP, New Mexico",35,19010
28855,9365,3270,"Craig city, Colorado",08,17760
28856,431,109,"Crawford town, Colorado",08,17925
28857,1487,671,"Crested Butte town, Colorado",08,18310
28858,1189,586,"Cripple Creek city, Colorado",08,18530
28859,186,35,"Crisman CDP, Colorado",08,18585
28860,110,24,"Crook town, Colorado",08,18640
28861,176,35,"Crowley town, Colorado",08,18750
28862,4152,1075,"Dacono city, Colorado",08,19080
28863,31985,5006,"Dakota Ridge CDP, Colorado",08,19150
28864,8779,2878,"Delta city, Colorado",08,19850
28865,502,134,"De Beque town, Colorado",08,19355
28866,546,166,"Deer Trail town, Colorado",08,19630
28867,1645,573,"Del Norte town, Colorado",08,19795
28868,584177,274202,"Denver city, Colorado",08,20000
28869,7616,2831,"Derby CDP, Colorado",08,20275
28870,904,432,"Dillon town, Colorado",08,20440
28871,339,72,"Dinosaur town, Colorado",08,20495
28872,127,17,"Divide CDP, Colorado",08,20605
28873,927,399,"Dolores town, Colorado",08,20770
28874,705,133,"Dotsero CDP, Colorado",08,21155
